"id","wid_15","wid_in_13","eq2_15","eqd1a_15","eqd2_15","eqd3_15","eqd4_15","eqd5_15","eqd6_15","eqd7_15","eqd8_15","eqd9_15","eqd10_15","eqd11_15","eqd12_15","eqd13_15","eqd14_15","eqe1_15","eqe2_15","eqe3_15","eqe4_15","eqe5_15","eqe6_15","eqe7_15","eqe8_15","eqe8a_15","eqe9_15","eqe9a_15","eqe10_15","eqe10a_15","eqe11_15","eqe12_15","eqe13_15","eqf1a_15","eqf1b_15","eqf1c_15","eqf2_15","eqf3_15","eqf4_15","eqg1a_15","eqg1b_15","eqg2a_15","eqg2b_15","eqg3a1_15","eqg3a2_15","eqg3b1_15","eqg3b2_15","eqg3c1_15","eqg3c2_15","eqg4_15","eqg5a_15","eqg5b_15","eqg6_15","eqg7_15","eqg8_15","eqg9a_15","eqg9b_15","eqg9c_15","eqg9d_15","eqg9e_15","eqg9f_15","eqg9g_15","eqg9h_15","eqg9i_15","eqg10a_15","eqg10b_15","eqg11_15","eqg12_15","eqg13_15","eqg14_15","eqh1_15","eqh2_15","eqi1_15","eqi2_15","eqi3_15","eqi4_15","eqi5_15","eqi6_15","eqi7_15","eqi8_15","eqj1a_15","eqj1ba_15","eqj1bb_15","eqj1bc_15","eqj1bd_15","eqj1be_15","eqj1bf_15","eqj1bg_15","eqk1a_15","eqk1b_15","eqk1c_15","eqk1d_15","eqk1f_15","eqk1e_15","eqk2a_15","eqk2b_15","eqk2c_15","eqk2d_15","eqk2e_15","eqk2f_15"
182,7,9,"Hai Phong",9,"Production Worker","Other","Male",1972,"Yes","Yes",2006,"Yes",,"Yes","Married",0,"Kinh","Secondary school",,,2,"Agriculture",2,"Agriculture",10,10,0,,4,7,"No","No",,"Did not work",,,9,,,"Time rate","Cash",6,8,"Month",3500,"Month",2000,,,"No","Same","No","Yes",500,"No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Not necessary at moment","Yes","Yes","Yes","Friend/acquaintance working in firm","Interview","Yes",2009,"Yes",200,"Better information about alternative job offers","No","No",,"No",,,"Second most important","Most important","Third most important",,,"Yes","Yes","Yes","Yes","No","Yes","Yes","Permanent self-contained house",120,15,2000,2012
182,1,1,"Hai Phong",1,"Professional Worker","Other","Female",1956,"Yes","Yes",1990,"Yes",,"Yes","Married",2,"Kinh","University and higher",5234,1982,3,"Agriculture",3,"Agriculture",24,5,0,,2,3,"No","No",,"Professional Worker (Requires Uni Degree)","Government","Manufacturing and Construction",20,"Sufficient","Closer to home","Time rate","Cash",6,8,"Month",3000,"Month",30000,,,"No","Same","Yes","Yes",1000,"No","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Low quality of services","Yes","Yes","Yes","Owner, who is a friend","Interview","Yes",2005,"Yes",240,"Better and more stable wage","No","No",,"No",,,"Most important",,"Second most important","Third most important",,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Permanent self-contained house",40,13,2002,2008
182,5,9,"Hai Phong",9,"Office Worker","Relative of owner, but not living in the same HH","Female",1972,"Yes","Yes",2005,"Yes",,"Yes","Married",2,"Kinh","Secondary school",,,4,"Manufacturing and Construction",4,"Agriculture",15,5,0,,3,7,"No","No",,"Did not work",,,10,,,"Time rate","Cash",6,8,"Month",3500,"Month",2000,,,"No","Same","No","Yes",500,"No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Too expensive","Yes","Yes","Yes","Owner, who is a relative","Interview","Yes",2009,"Yes",200,"Better information about alternative job offers","No","No",,"No","Second most important","Most important",,"Third most important",,,,"Yes","Yes","Yes","Yes","No","Yes","Yes","Permanent self-contained house",50,18,1997,2008
182,3,9,"Hai Phong",9,"Manager","Relative of owner, but not living in the same HH","Female",1950,"Yes","Yes",1990,"Yes",,"No","Married",2,"Kinh","High school",,,2,"Agriculture",3,"Agriculture",15,5,0,,3,7,"No","No",,"Manager","Government","Manufacturing and Construction",20,"Sufficient","Closer to home","Time rate","Cash",6,8,"Month",5000,"Month",3000,,,"No","Same","No","Yes",1000,"No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Not necessary at moment","Yes","Yes","Yes","Friend/acquaintance working in firm","Interview","Yes",1995,"Yes",200,"Better and more stable wage","No","No",,"No","Third most important",,"Second most important",,"Most important",,,"Yes","Yes","Yes","Yes","No","Yes","Yes","Permanent self-contained house",80,15,2000,2005
182,6,9,"Hai Phong",9,"Production Worker","Other","Female",1970,"Yes","Yes",2006,"Yes",,"Yes","Married",2,"Kinh","Primary school",,,4,"Manufacturing and Construction",4,"Manufacturing and Construction",10,4,0,,7,7,"No","No",,"Did not work",,,9,,,"Time rate","Cash",6,8,"Month",3500,"Month",2000,,,"No","Same","No","Yes",500,"No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Low quality of services","Yes","Yes","Yes","Friend/acquaintance working in firm","Interview","Yes",2008,"Yes",200,"Better information about alternative job offers","No","No",,"No",,"Most important","Third most important","Second most important",,,,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Permanent self-contained house",100,20,1995,2003
341,2,2,"Ha Tay",2,"Production Worker","Relative of owner, but not living in the same HH","Male",1983,"Yes","No",2001,"Yes",,"No","Married",2,"Kinh","Vocational elementary",2251,2001,4,"Agriculture",3,"Agriculture",0,,0,,1,10,"No","No",,"Production Worker","Other","Agriculture",14,"Sufficient","Better use of skills/experience","Time rate","Cash",6,8,"Month",5000,"Month",3000,,,"Yes","Same",,"Yes",500,"No","No","No","No","No","No","No","No","No","No","No","No","Not necessary at moment","No","No",,"Friend/acquaintance working in firm","On-the-job test (carried out by experienced worker)",,,,,,,,,"No",,,,,"Most important",,,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Permanent self-contained house",60,25,1990,
341,1,1,"Ha Tay",1,"Manager","Member of Owners HH","Female",1977,"Yes","No",1995,"Yes",,"No","Married",2,"Kinh","Vocational elementary",2251,1998,3,"Agriculture",3,"Agriculture",0,,0,,0,,"Don't know","No",,"Production Worker","Other","Agriculture",3,"Sufficient","Other",,,6,8,,,,,,,,,,,,,,,,,,,,,,"No","No","Not necessary at moment","No","No",,,"None of the above",,,,,,,,,"No",,,,,"Most important",,,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Permanent self-contained house",100,19,1996,
364,1,1,"Ha Tay",1,"Manager","Member of Owners HH","Male",1972,"Yes","No",1993,"Yes",,"Yes","Married",2,"Kinh","High school",,,2,"Agriculture",2,"Agriculture",,,,,,,"No","No",,"Production Worker","Private firm","Agriculture",22,"More than sufficient","Other",,,7,9,,,,,,,,,,,,,,,,,,,,,,"No","No","Procedures too complicated","No",,,,"None of the above",,,,,,,,,,,,,,,,,"Yes","Yes","Yes","Yes","No","Yes","Yes","Permanent self-contained house",50,8,2007,
364,3,3,"Ha Tay",3,"Production Worker","Member of Owners HH","Female",1956,"Yes","No",1991,"Yes",,"Yes","Married",3,"Kinh","High school",,,2,"Agriculture",2,"Agriculture",,,,,,,"No","No",,"Production Worker","Private firm","Agriculture",15,"More than sufficient","Other",,,7,9,,,,,,,,,,,,,,,,,,,,,,"No","No","Procedures too complicated","No",,,,"None of the above",,,,,,,,,,,,,,,,,"Yes","Yes","Yes","Yes","No","Yes","Yes","Permanent self-contained house",50,8,2007,
364,2,2,"Ha Tay",2,"Production Worker","Member of Owners HH","Female",1985,"Yes","No",2006,"Yes",,"Yes","Married",2,"Kinh","High school",,,2,"Agriculture",2,"Agriculture",,,,,,,"No","No",,"Production Worker","Private firm","Agriculture",7,"More than sufficient","Other",,,7,9,,,,,,,,,,,,,,,,,,,,,,"No","No","Procedures too complicated","No",,,,"None of the above",,,,,,,,,,,,,,,,,"Yes","Yes","Yes","Yes","No","Yes","Yes","Permanent self-contained house",50,10,2005,
380,2,9,"Ha Tay",9,"Production Worker","Relative of owner, but not living in the same HH","Female",1980,"Yes","No",2006,"Yes",,"Yes","Married",2,"Kinh","Secondary school",,,2,"Agriculture",2,"Agriculture",0,,,,,,"No","No",,"Did not work",,,9,,,"Time rate","Combined",6,8,"Month",5000,"Month",3000,"Month",3000,"No","Higher",,"No",,"No",,,,,,,,,,"Yes","No","Not necessary at moment","No",,,"Owner, who is a relative","None of the above",,,,,,,,,,,,,,,,,"No","No","Yes","No","No","Yes","Yes","Permanent self-contained house",150,20,1995,
380,1,1,"Ha Tay",1,"Manager","Member of Owners HH","Female",1972,"Yes","No",1991,"Yes",,"Yes","Married",2,"Kinh","Vocational elementary",2251,1992,6,"Services",2,"Agriculture",0,,,,,,"No","No",,"Did not work",,,24,,,,,6,8,,,,,,,,,,,,,,,,,,,,,,"Yes","No","Not necessary at moment","No",,,,"None of the above",,,,,,,,,,,,,,,,,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Permanent self-contained house",150,9,2001,
394,1,1,"Ha Tay",1,"Production Worker","Relative of owner, but not living in the same HH","Female",1964,"Yes","No",1980,"Yes",,"Yes","Married",2,"Kinh","High school",,,2,"Agriculture",2,"Agriculture",0,,0,,0,,"Don't know","No",,"Production Worker","Other","Agriculture",35,"Sufficient","Better working condition","Combined","Cash",6,8,"Month",2700,,,,,"Yes","Same","No","Yes",1000,"No","No","No","No","No","No","No","No","No","No","No","No","I prefer to save up myself","No",,,"Owner, who is a relative","None of the above",,,,,,,,,"No","Most important",,"Second most important",,"Third most important",,,"Yes","Yes","Yes","No","Yes","Yes","Yes","Permanent self-contained house",60,30,2000,
399,1,9,"Ha Tay",9,"Production Worker","Member of Owners HH","Female",1958,"Yes","No",2007,"Yes",,"Yes","Married",2,"Kinh","Primary school",,,1,"Agriculture",1,"Agriculture",0,,0,,0,,"Don't know","No",,"Production Worker","Other","Services",,"Sufficient","Other",,,7,5,,,,,,,,,,,,,,,,,,,,,,"Yes","Yes",,"No",,,,"None of the above",,,,,,,,,,,,,,,,,"No","Yes","Yes","No","Yes","Yes","No","Permanent self-contained house",120,18,1997,2014
399,3,9,"Ha Tay",9,"Production Worker","Other","Male",1942,"Yes","No",2008,"Yes",,"Yes","Married",5,"Kinh","Secondary school",,,4,"Manufacturing and Construction",2,"Agriculture",0,,0,,0,,"Don't know","No",,"Production Worker","Other","Services",,"Sufficient","Other","Combined","Combined",7,5,"Month",7000,"Month",4000,,,"No","Same",,"No",,"No",,,,,,,,,,"Yes","Yes",,"No",,,"Owner, who is a friend","None of the above",,,,,,,,,,,,,,,,,"No","Yes","Yes","No","No","No","Yes","Permanent self-contained house",189,73,1920,2008
399,2,9,"Ha Tay",9,"Production Worker","Member of Owners HH","Male",1969,"Yes","No",2007,"Yes",,"Yes","Married",2,"Kinh","Secondary school",,,3,"Agriculture",2,"Agriculture",0,,0,,0,,"Don't know","No",,"Production Worker","Other","Services",,"Sufficient","Other",,,7,5,,,,,,,,,,,,,,,,,,,,,,"Yes","Yes",,"No",,,,"None of the above",,,,,,,,,,,,,,,,,"Yes","Yes","Yes","Yes","No","Yes","Yes","Permanent self-contained house",180,14,2001,
408,3,3,"Ha Tay",3,"Production Worker","Other","Male",1989,"Yes","No",2011,"Yes",,"Yes","Married",2,"Kinh","Technical level without certificate",,,1,"Agriculture",1,"Agriculture",0,,0,,1,7,"No","No",,"Production Worker","Other","Agriculture",1,"Sufficient","Better use of skills/experience","Time rate","Cash",6,8,"Month",4000,"Month",3000,"Month",3000,"Yes","Same",,"Yes",400,"No","No","No","No","No","No","No","No","No","No","No","No","Not necessary at moment","No","No",,"Relative working in firm","None of the above",,,,,,,,,"No",,,,,"Most important",,,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Permanent self-contained house",150,9,2000,
408,1,1,"Ha Tay",1,"Manager","Member of Owners HH","Female",1971,"Yes","No",1991,"Yes",,"Yes","Married",2,"Kinh","Technical level without certificate",,,1,"Agriculture",1,"Agriculture",0,,0,,1,3,"No","No",,"Production Worker","Other","Agriculture",3,"Sufficient","Other",,,6,8,,,,,,,,,,,,,"No","No","No","No","No","No","No","No","No","No","No","Not necessary at moment","No","No",,,"None of the above",,,,,,,,,"No",,,,,"Most important",,,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Permanent self-contained house",100,5,2010,
408,2,2,"Ha Tay",2,"Production Worker","Other","Female",1984,"Yes","No",2010,"Yes",,"Yes","Married",2,"Kinh","Technical level without certificate",,,1,"Agriculture",1,"Agriculture",0,,0,,1,7,"No","No",,"Production Worker","Other","Agriculture",2,"Sufficient","Closer to home","Time rate",,7,9,"Month",4500,"Month",4500,,,"Yes","Same",,"Yes",400,"No","No","No","No","No","No","No","No","No","No","No","No","Not necessary at moment","No","No",,"Owner, who is a relative","None of the above",,,,,,,,,"No",,,,,"Most important",,,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Permanent self-contained house",150,5,,
409,2,2,"Ha Tay",2,"Production Worker","Other","Male",1979,"Yes","No",2003,"Yes",,"Yes","Married",2,"Kinh","Vocational elementary",2254,2000,1,"Agriculture",1,"Agriculture",0,,0,,1,7,"No","No",,"Production Worker","Other","Services",6,"Sufficient","Closer to home","Time rate","Cash",6,8,"Month",4500,"Month",4500,,,"Yes","Same","No","Yes",500,"No","No","No","No","No","No","No","No","No","No","No","No","Not necessary at moment","No","No",,"Other","None of the above",,,,,,,,,"No",,,,,"Most important",,,"Yes","Yes","Yes","No","No","Yes","Yes","Permanent self-contained house",200,8,2005,
409,1,1,"Ha Tay",1,"Production Worker","Other","Male",1980,"Yes","No",2003,"Yes",,"Yes","Married",2,"Kinh","Vocational elementary",2254,2000,1,"Agriculture",1,"Agriculture",0,,0,,1,7,"No","No",,"Production Worker","Other","Services",5,"Sufficient","Closer to home","Time rate","Cash",6,8,"Month",4500,"Month",4500,,,"Yes","Same","No","Yes",500,"No","No","No","No","No","No","No","No","No","No","No","No","Not necessary at moment","No","No",,"Owner, who is a relative","None of the above",,,,,,,,,"No",,,,,"Most important",,,"Yes","Yes","Yes","No","No","Yes","Yes","Permanent self-contained house",100,9,2003,
413,1,1,"Ha Tay",1,"Production Worker","Other","Male",1990,"Yes","No",2011,"No","Rural","No","Not married",,"Kinh","Technical level without certificate",,,3,"Agriculture",2,"Agriculture",0,,0,,1,7,"No","No",,"Did not work",,,4,,,"Time rate","Cash",6,8,"Month",4000,"Month",3000,"Month",3000,"Yes","Same",,"Yes",500,"No","No","No","No","No","No","No","No","No","No","No","No","Too expensive","No","No",,"Other","None of the above",,,,,,,,,"No",,,,,,,,"Yes","Yes","Yes","No","No","Yes","Yes","Permanent self-contained house",60,16,1999,
413,2,2,"Ha Tay",2,"Production Worker","Other","Male",1986,"Yes","No",2011,"No","Rural","No","Married",1,"Kinh","Technical level without certificate",,,3,"Agriculture",2,"Agriculture",0,,0,,1,7,"No","No",,"Production Worker","Other","Services",7,"Sufficient","Better working condition","Time rate","Cash",6,8,"Month",4000,"Day",3000,"Month",3000,"Yes","Same",,"Yes",500,"No","No","No","No","No","No","No","No","No","No","No","No","Too expensive","No","No",,"Other","None of the above",,,,,,,,,"No",,,,,,,,"Yes","Yes","Yes","No","No","Yes","Yes","Permanent self-contained house",60,11,2004,
415,1,9,"Ha Tay",9,"Production Worker","Owner","Male",1960,"Yes","No",1990,"Yes",,"Yes","Married",3,"Kinh","Technical level without certificate",,,3,"Agriculture",3,"Agriculture",0,,0,,0,,"Don't know","No",,"Production Worker","Private firm","Manufacturing and Construction",12,"Sufficient","Other",,,6,8,,,,,,,,,,,,,,,,,,,,,,"No","No","Not necessary at moment","No",,,"Other","None of the above",,,,,,,,,"No","Most important","Second most important","Third most important",,,,,"Yes","Yes","Yes","No","Yes","Yes","Yes","Permanent self-contained house",81,19,1996,
532,3,6,"HCMC",6,"Production Worker","Other","Male",1970,"Yes","Yes",1997,"Yes",,"Yes","Married",2,"Kinh","Vocational secondary",4048,1993,4,"Manufacturing and Construction",4,"Manufacturing and Construction",1,7,0,,0,,"No","No",,"Production Worker","Private firm","Services",18,"Sufficient","Better use of skills/experience","Other/Not paid","Cash",6,8,"Month",3500,"Month",3000,,,"Yes","Same","Yes","Yes",3500,"No","Yes","Yes","No","No","No","Yes","Yes","Yes","Yes","No","No","Other","Yes","No",,"Job advertisement","Interview","No",,,,,,"No",,"No","Third most important",,"Most important",,"Second most important",,,"Yes","Yes","Yes","Yes","No","Yes","Yes","semi-permanent house",35,3,2012,
532,2,9,"HCMC",9,"Production Worker","Other","Female",1979,"Yes","Yes",2014,"Yes",,"No","Married",2,"Kinh","High school",,,4,"Manufacturing and Construction",4,"Services",0,,0,,0,,"Don't know","No",,"Production Worker","Private firm","Services",7,"Sufficient","Better use of skills/experience","Other/Not paid","Cash",6,8,"Month",3200,"Month",2900,,,"Yes","Same","No","Yes",3000,"No","Yes","Yes","No","No","No","Yes","Yes","Yes","Yes","No","No","Other","Yes","No",,"Job advertisement","Interview","No",,,,,,"No",,"No","Third most important",,"Most important",,"Second most important",,,"Yes","Yes","Yes","Yes","No","Yes","No","semi-permanent house",60,2,,
532,1,2,"HCMC",2,"Sales Worker","Other","Male",1976,"Yes","Yes",2012,"Yes",,"No","Married",2,"Kinh","University and higher",5234,2001,2,"Manufacturing and Construction",2,"Manufacturing and Construction",0,,0,,0,,"Don't know","No",,"Sales Worker","Private firm","Services",8,"Sufficient","Better use of skills/experience","Combined","Cash",6,8,"Month",4800,"Month",2300,,,"Yes","Higher","Yes","Yes",4000,"No","Yes","Yes","No","No","No","Yes","Yes","Yes","Yes","No","No","Other","Yes",,,"Job advertisement","Interview","Yes",2013,"Yes",160,"More job security","No","No",,"No","Third most important",,"Most important",,"Second most important",,,"Yes","Yes","Yes","Yes","No","Yes","Yes","semi-permanent house",60,1,2014,
659,1,9,"HCMC",9,"Manager","Other","Female",1984,"Yes","No",2012,"Yes",,"Yes","Married",1,"Kinh","Secondary school",,,4,"Services",1,"Agriculture",0,,0,,0,,"Don't know","No",,"Production Worker","Other","Manufacturing and Construction",3,"Sufficient","Closer to home","Time rate","Cash",4,8,"Month",3500,"Month",2700,"Month",3000,"No","Same",,,,"No","No","No","No","No","No","No","No","No","No","Yes","Yes",,"No","Yes","Yes","Other","On-the-job test (carried out by experienced worker)",,,,,,,,,"No",,"Most important","Second most important","Third most important",,,,"Yes","Yes","Yes","No","No","Yes","Yes","Permanent self-contained house",30,10,2005,
659,3,9,"HCMC",9,"Production Worker","Other","Female",1982,"Yes","No",2013,"Yes",,"Yes","Married",1,"Hoa","Technical level without certificate",,,5,"Manufacturing and Construction",3,"Agriculture",0,,0,,0,,"Don't know","No",,"Did not work",,,2,,,"Time rate","Cash",4,8,"Month",2700,"Month",2400,,,"No","Same",,,,"No","No","No","No","No","No","No","No","No","No","Yes","Yes",,"No","Yes","Yes","Friend/acquaintance working in firm","On-the-job test (carried out by experienced worker)",,,,,,,,,"No",,"Most important","Second most important","Third most important",,,,"Yes","Yes","Yes","No","No","Yes","Yes","Permanent self-contained house",40,8,2007,
