"id","wid_07","eq1_07","eqd2_07","eqd3_07","eqd4_07","eqd5_07","eqd6_07","eqd7_07","eqd8_07","eqd9_07","eqd10_07","eqd11_07","eqe1_07","eqe2_07","eqe3_07","eqe4_07","eqe5_07","eqe7_07","eqe8_07","eqf1a_07","eqf1b_07","eqf1c_07","eqf2_07","eqf3_07","eqg1_07","eqg2a_07","eqg2b_07","eqg3a_07","eqg3b_07","eqg4_07","eqg5_07","eqg6_07","eqg7_07","eqg8a_07","eqg8b_07","eqg8c_07","eqg8d_07","eqg9_07","eqg10_07","eqg11_07","eqh1_07","eqh2_07","eqi1_07","eqi2_07","eqi3_07","eqi4_07","eqi5_07","eqi6_07","eqj1a_07","eqj1b_07","eqj1c_07","eqj1d_07","eqj1e_07","eqj1f_07","eqj1g_07","eqj2_07","eqj3_07","eqj4_07","eqk1a_07","eqk1b_07","eqk1c_07","eqk1d_07","eqk1e_07","eqk2a_07","eqk2b_07","eqk2c_07","eqk2d_07","eqk2e_07","eqk2f_07"
158,2,"Hai Phong","Professional Worker","Other","Male",1957,"Yes",1997,"Yes","Yes","Urban","Married","College/University/post-graduate",5052,1968,"Yes","Technical worker/professional secondary","College/University/post-graduate","Agriculture","Professional Worker (Requires Uni Degree)","Other","Manufacturing and Construction","Sufficient","Better working condition","Percent of Sales",6,6,"Month",2500,2,"Yes",200,"No","No","No","No","No","Yes","No",,"Owner, who is a relative","None of the above",,,,,,,"Most important",,,"Third most important","Second most important",,,"No","No","Don't know","Yes","Yes","Yes","Yes","Yes","No",,,,,
158,6,"Hai Phong","Production Worker","Other","Female",1987,"Yes",2006,"Yes","Yes","Urban","Not married","High school",,,"Yes","Technical worker without certificate","Technical worker/professional secondary","Agriculture","Production Worker","Other","Services","Sufficient","Better use of skills/experience","Time rate",6,7,"Month",1000,2,"Yes",100,"No","No","No","No","No","No","Yes","Yes","Owner, who is a relative","On-the-job test (carried out by experienced worker)",,,,,,,"Most important",,"Third most important","Second most important",,,,"No","No","Don't know","Yes","Yes","Yes","No","Yes","No",,,,,
158,4,"Hai Phong","Sales Worker","Other","Male",1982,"Yes",2005,"Yes","No","Urban","Not married","High school",,,"Yes","College/University/post-graduate","Technical worker/professional secondary","Agriculture","Sales Worker","FDI firm","Services","Sufficient","Better use of skills/experience","Time rate",6,7,"Month",1500,2,"Yes",100,"No","No","No","No","No","No","Yes","Yes","Owner, who is a relative","On-the-job test (carried out by experienced worker)",,,,,,,,"Second most important",,,"Third most important",,"Most important","No","No","Don't know","Yes","Yes","Yes","No","Yes","No",,,,,
182,2,"Hai Phong","Professional Worker","Member of Owners HH","Male",1975,"Yes",2000,"Yes","Yes","Urban","Married","College/University/post-graduate",5252,1998,"No","Secondary school","Secondary school","Manufacturing and Construction","Professional Worker (Requires Uni Degree)","Private firm","Manufacturing and Construction","Sufficient","Better use of skills/experience","Piece rate",6,8,"Month",1500,1,"Yes",200,"No","No","No","No","No","Yes","Yes","Yes","Through door to door visits","Several of the above","No",,,,,,,,"Most important",,,,,"No","No","Don't know","Yes","Yes","Yes","Yes","Yes","Yes","Permanent self-contained house",50,5,2002,
182,3,"Hai Phong","Office Worker","Other","Female",1955,"Yes",1995,"Yes","Yes","Urban","Married","Technical worker/professional secondary",4234,1975,"No","Secondary school","Secondary school","Manufacturing and Construction","Office Worker","SOE","Manufacturing and Construction","Sufficient","Closer to home","Time rate",6,8,"Month",1000,2,"Yes",200,"No","No","No","No","No","Yes","Yes","Yes","Through door to door visits","Several of the above","Yes",2000,"Yes",10,"More safety at workplace","No",,,"Most important",,,,,"No","No","Don't know","No","Yes","Yes","No","Yes","Yes","Permanent self-contained house",52,15,1992,
182,6,"Hai Phong","Production Worker","Other","Male",1978,"Yes",2000,"No","No","Rural","Married","Secondary school",,,"No","Secondary school","Secondary school","Agriculture","Production Worker","Private firm","Manufacturing and Construction","Not sufficient","Better use of skills/experience","Piece rate",6,8,"Month",1000,1,"Yes",200,"No","No","No","No","No","Yes","Yes","Yes","Through door to door visits","None of the above","No",,,,,,,,"Most important",,,,,"No","No","Don't know","No","Yes","Yes","No","Yes","Yes","Pemanent non-contained house",45,8,2004,
182,1,"Hai Phong","Manager","Owner","Female",1948,"Yes",1989,"Yes","Yes","Urban","Not married","Secondary school",,,"No","Secondary school","Secondary school","Services","Manager","Private firm","Manufacturing and Construction","Sufficient","Better use of skills/experience","Time rate",6,8,"Month",1500,1,"Yes",200,"No","No","No","No","No","Yes","Yes","Yes","Owner, who is a relative","None of the above","No",,,,,,,,"Most important",,,,,"No","No","Help related to medicine","Yes","Yes","Yes","No","Yes","Yes","Permanent self-contained house",56,12,1995,
336,6,"Ha Tay","Production Worker","Other","Male",1972,"Yes",2005,"Yes","No","Urban","Not married","Secondary school",,,"No","Secondary school","Secondary school","Agriculture","Production Worker","Private firm","Agriculture","Sufficient","Better use of skills/experience","Time rate",7,8,"Month",1200,2,,,"No","No","No","No","No","No","No",,"Owner, who is a relative","On-the-job test (carried out by experienced worker)",,,,,,,"Most important",,"Second most important",,"Third most important",,,"No","No","Don't know","Yes","Yes","Yes","No","Yes","No",,,,,
336,1,"Ha Tay","Manager","Member of Owners HH","Male",1980,"No",2005,"Yes","No","Urban","Married","Secondary school",,,"No","Secondary school","Secondary school","Agriculture","Manager","Private firm","Agriculture","More than sufficient","Better social benefits","Other/Not paid",7,8,,,4,,,"No","No","No","No","No","No","No",,"Owner, who is a relative","On-the-job test (carried out by experienced worker)",,,,,,,"Most important",,"Second most important",,"Third most important",,,"No","No","Don't know","Yes","Yes","Yes","No","Yes","No",,,,,
366,6,"Ha Tay","Production Worker","Other","Female",1966,"Yes",2004,"Yes","No","Urban","Married","Secondary school",,,"No","Primary school","Primary school","Agriculture","Production Worker","Other","Services","Sufficient","Better salary","Time rate",7,8,"Day",16,1,"Yes",50,"Yes","No","No","No","No","No","No",,"Through door to door visits","On-the-job test (carried out by experienced worker)",,,,,,,,,,,,,,"No","No","Laid off","No","Yes","Yes","No","Yes","Yes","Pemanent non-contained house",72,10,1997,
367,6,"Ha Tay","Production Worker","Member of Owners HH","Female",1987,"No",2005,"Yes","No","Urban","Not married","High school",,,"No","Secondary school","Secondary school","Agriculture","Did not work",,,,,"Other/Not paid",7,8,,,4,,,"No","No","No","No","No","No","Yes","Yes","Other","None of the above",,,,,,,,,,,,,,"No","No","Don't know","Yes","Yes","Yes","No","Yes","No",,,,,
380,6,"Ha Tay","Production Worker","Other","Female",1950,"Yes",1990,"Yes","No","Rural","Married","Secondary school",,,"No","Secondary school","Secondary school","Agriculture","Production Worker","Private firm","Agriculture","Sufficient","Better working condition","Time rate",7,8,"Month",800,1,"Yes",200,"No","No","No","No","No","No","No",,"Through door to door visits","On-the-job test (carried out by experienced worker)",,,,,,,"Most important",,,"Second most important","Third most important",,,"No","No","Don't know","Yes","Yes","Yes","No","Yes","Yes","Pemanent non-contained house",180,47,1979,2000
380,5,"Ha Tay","Service Worker","Other","Female",1956,"Yes",2001,"No","No","Urban","Married","Secondary school",,,"No","Secondary school","Primary school","Agriculture","Service Worker","Private firm","Agriculture","Sufficient","Better working condition","Time rate",7,8,"Month",850,1,"Yes",200,"No","No","No","No","No","No","No",,"Through door to door visits","On-the-job test (carried out by experienced worker)",,,,,,,"Most important",,,"Second most important","Third most important",,,"No","No","Don't know","No","Yes","Yes","No","Yes","Yes","Pemanent non-contained house",50,30,,
380,1,"Ha Tay","Manager","Other","Female",1972,"No",1991,"Yes","No","Rural","Married","Secondary school",,,"No","Secondary school","Primary school","Agriculture","Manager","Private firm","Agriculture","More than sufficient","Better working condition","Time rate",7,8,"Month",1500,1,"Yes",200,"No","No","No","No","No","No","No",,"Owner, who is a friend","None of the above",,,,,,,"Most important",,,"Second most important","Third most important",,,"No","No","Don't know","Yes","Yes","Yes","Yes","Yes","No",,,,,
395,1,"Ha Tay","Manager","Member of Owners HH","Male",1979,"Yes",2002,"Yes","No","Urban","Married","High school",,,"No","Secondary school","Secondary school","Agriculture","Production Worker","Other","Manufacturing and Construction","Sufficient","Better working condition","Other/Not paid",7,8,,,4,,,"No","No","No","No","No","No","No",,"Other","None of the above",,,,,,,"Most important","Second most important","Third most important",,,,,"No","No","Don't know","Yes","Yes","Yes","No","Yes","Yes","Permanent self-contained house",200,1,2006,
395,6,"Ha Tay","Production Worker","Other","Male",1982,"Yes",2004,"Yes","No","Urban","Married","High school",,,"No","Primary school","Secondary school","Agriculture","Production Worker","Other","Manufacturing and Construction","Sufficient","Better working condition","Combined",7,8,"Month",700,1,"No",,"No","No","No","No","No","No","No",,"Through door to door visits","On-the-job test (carried out by experienced worker)",,,,,,,"Most important","Second most important","Third most important",,,,,"No","No","Don't know","Yes","Yes","No","No","Yes","No",,,,,
404,6,"Ha Tay","Production Worker","Other","Female",1986,"Yes",2005,"Yes","No","Urban","Not married","High school",,,"No","Secondary school","Primary school","Agriculture","Did not work",,,,,"Combined",7,8,"Month",900,2,"Yes",100,"No","No","No","No","No","No","No",,"Through door to door visits","None of the above","No",,,,,,,,,,,,,"No","No","Don't know","Yes","Yes","No","No","Yes","No",,,,,
409,6,"Ha Tay","Production Worker","Other","Male",1980,"Yes",2002,"Yes","No","Urban","Not married","Technical certificate/Elementary worker",,,"No","Primary school","Primary school","Agriculture","Production Worker","Other","Agriculture","Sufficient","Better salary","Time rate",7,8,"Month",800,1,"Yes",100,"No","No","No","No","No","No","No",,"Through door to door visits","None of the above","No",,,,,,"Most important","Second most important","Third most important",,,,,"No","No","Don't know","Yes","Yes","No","No","Yes","Yes","Pemanent non-contained house",100,30,2000,
412,6,"Ha Tay","Production Worker","Other","Male",1981,"Yes",2005,"Yes","No","Urban","Not married","Secondary school",,,"No","Secondary school","Primary school","Agriculture","Production Worker","Private firm","Manufacturing and Construction","Sufficient","Better use of skills/experience","Piece rate",7,8,"Month",1200,1,"Yes",100,"No","No","No","No","No","No","No",,"Friend/acquaintance working in firm","None of the above",,,,,,,,"Third most important",,,"Second most important","Most important",,"No","No","Don't know","Yes","Yes","No","No","Yes","No",,,,,
537,6,"HCMC","Production Worker","Other","Female",1969,"Yes",2003,"Yes","Yes","Urban","Not married","Primary school",,,"No","Primary school","Primary school","Services","Sales Worker","Other","Services","Sufficient","Better working condition","Combined",7,8,"Month",1700,1,"Yes",1500,"No","No","No","No","No","No","No",,"Owner, who is a friend","None of the above",,,,,,,"Most important",,"Second most important",,"Third most important",,,"No","No","Laid off","Yes","Yes","No","No","No","No",,,,,
537,1,"HCMC","Manager","Other","Male",1981,"Yes",2002,"Yes","Yes","Urban","Not married","Technical worker without certificate",2248,2002,"Yes","Primary school","None","Services","Did not work",,,,,"Combined",7,8,"Month",5000,1,"Yes",10000,"No","Yes","No","No","No","No","No",,"Owner, who is a relative","None of the above",,,,,,,"Most important",,"Second most important",,"Third most important",,,"No","No","Laid off","Yes","Yes","Yes","Yes","Yes","No",,,,,
658,6,"HCMC","Production Worker","Other","Male",1953,"Yes",1994,"Yes","Yes","Urban","Married","None",,,"No","None","None","Services","Production Worker","Private firm","Manufacturing and Construction","Sufficient","Better social benefits","Time rate",7,8,"Month",1000,2,"Yes",1000,"No","Yes","No","No","No","No","No",,"Owner, who is a relative","None of the above","No",,,,,,"Second most important",,"Most important",,,,,"No","No","Nothing","Yes","Yes","Yes","No","Yes","Yes","semi-permanent house",60,40,1971,
715,6,"HCMC","Production Worker","Other","Male",1984,"Yes",2005,"Yes","Yes","Urban","Not married","Technical certificate/Elementary worker",,,"No","College/University/post-graduate","Secondary school",,"Did not work",,,,,"Time rate",6,8,"Month",1200,1,"Yes",1100,"No","No","No","No","No","No","No",,"Friend/acquaintance working in firm","Interview","Yes",2007,"Yes",26,"Secures that employer pays social benifits","No",,,,,"Third most important",,,"No","No","Don't know","Yes","Yes","Yes","Yes","Yes","No",,,,,
787,6,"Long An","Production Worker","Other","Male",1953,"Yes",2006,"Yes","No","Urban","Married","High school",,,"No","Secondary school","Primary school","Agriculture","Production Worker","Private firm","Agriculture","Sufficient","Better social benefits","Time rate",6,8,"Month",1400,2,"Yes",100,"Yes","No","No","No","No","No","No",,"Owner, who is a friend","None of the above","No",,,,,,"Third most important",,"Most important",,"Second most important",,,"No","No","Laid off","Yes","Yes","No","No","Yes","Yes","Pemanent non-contained house",40,2,2005,
1022,6,"Hai Phong","Production Worker","Member of Owners HH","Female",1962,"Yes",1997,"Yes","Yes","Urban","Married","Secondary school",,,"No","Secondary school","Primary school","Manufacturing and Construction","Production Worker","Other","Services","Not sufficient","Better social benefits","Other/Not paid",7,8,,,4,,,"No","No","No","No","No","No","No",,"Owner, who is a relative","None of the above",,,,,,,,"Third most important","Second most important",,"Most important",,,"No","No","Laid off","No","Yes","Yes","No","Yes","Yes","Pemanent non-contained house",100,10,1997,2002
1040,3,"Hai Phong","Office Worker","Other","Male",1979,"Yes",2005,"Yes","Yes","Urban","Married","Technical worker/professional secondary",4052,1999,"No","Secondary school","None","Agriculture","Office Worker","SOE","Services","Sufficient","Better salary","Time rate",6,8,"Month",1300,2,"Yes",200,"No","Yes","No","Yes","No","Yes","No",,"Relative working in firm","Interview","No",,,,,,"Most important",,,,"Second most important","Third most important",,"No","Yes","Laid off","Yes","Yes","Yes","Yes","Yes","Yes","Pemanent non-contained house",40,16,1989,2006
1040,2,"Hai Phong","Professional Worker","Other","Female",1981,"Yes",2005,"Yes","Yes","Urban","Not married","College/University/post-graduate",5046,2004,"Yes","High school","High school","Services","Did not work",,,,,"Time rate",6,8,"Month",1500,2,"Yes",200,"No","Yes","No","Yes","No","Yes","No",,"Owner, who is a relative","Interview","No",,,,,,"Most important",,,,"Third most important","Second most important",,"No","Yes","Nothing","Yes","Yes","Yes","No","Yes","No",,,,,
1040,5,"Hai Phong","Service Worker","Other","Female",1969,"Yes",2004,"Yes","No","Urban","Married","Secondary school",,,"No","None","None","Agriculture","Service Worker","Private firm","Manufacturing and Construction","Sufficient","Better salary","Time rate",6,8,"Month",800,2,"Yes",100,"No","Yes","No","Yes","No","Yes","Yes","Yes","Owner, who is a friend","On-the-job test (carried out by experienced worker)","No",,,,,,"Most important",,,,"Third most important","Second most important",,"No","Yes","Laid off","Yes","Yes","Yes","No","Yes","Yes","Pemanent non-contained house",35,21,1981,2005
1040,6,"Hai Phong","Production Worker","Other","Male",1976,"Yes",2002,"Yes","No","Urban","Married","Technical worker without certificate",2254,1995,"Yes","Primary school","None","Services","Production Worker","Private firm","Manufacturing and Construction","Sufficient","Better salary","Combined",6,8,"Month",1500,2,"Yes",200,"No","Yes","No","Yes","No","Yes","Yes","Yes","Friend/acquaintance working in firm","On-the-job test (carried out by experienced worker)","No",,,,,,"Most important",,,,"Third most important","Second most important",,"No","Yes","Laid off","Yes","Yes","Yes","No","Yes","No",,,,,
1056,6,"Hai Phong","Production Worker","Member of Owners HH","Female",1974,"Yes",1999,"Yes","Yes","Urban","Married","High school",,,"No","Primary school","Primary school","Services","Did not work",,,,,"Other/Not paid",7,8,,,4,,,"No","No","No","No","No","No","No",,"Other","None of the above",,,,,,,,,,,,,"Third most important","No","No","Laid off","Yes","Yes","Yes","No","Yes","Yes","Permanent self-contained house",60,7,2000,2004
1063,6,"Hai Phong","Production Worker","Other","Male",1983,"Yes",2004,"No","No","Rural","Not married","Secondary school",,,"Yes","Primary school","Primary school","Agriculture","Did not work",,,,,"Combined",6,8,"Month",1100,1,"Yes",250,"No","No","No","No","No","Yes","Yes","Yes","Job advertisement","None of the above",,,,,,,"Most important",,"Third most important",,"Second most important",,,"No","No","Laid off","Yes","Yes","Yes","No","No","No",,,,,
1063,5,"Hai Phong","Service Worker","Other","Male",1972,"Yes",2005,"Yes","Yes","Rural","Married","Secondary school",,,"No","Secondary school","Primary school","Agriculture","Production Worker","Private firm","Manufacturing and Construction","Not sufficient","Better use of skills/experience","Time rate",7,7,"Month",1000,2,"Yes",200,"No","Yes","No","No","No","No","No",,"Through door to door visits","None of the above",,,,,,,"Third most important",,"Most important",,"Second most important",,,"No","No","Laid off","Yes","Yes","Yes","No","Yes","Yes","Pemanent non-contained house",55,8,1999,2003
1063,3,"Hai Phong","Office Worker","Other","Female",1980,"Yes",2006,"Yes","Yes","Urban","Married","Technical worker/professional secondary",4234,2003,"No","High school","High school","Manufacturing and Construction","Did not work",,,,,"Time rate",6,8,"Month",1200,1,"Yes",350,"No","Yes","No","No","No","No","No",,"Through door to door visits","Interview",,,,,,,"Third most important",,"Second most important",,"Most important",,,"No","No","Laid off","Yes","Yes","Yes","Yes","No","No",,,,,
1063,2,"Hai Phong","Professional Worker","Other","Female",1975,"Yes",2005,"Yes","Yes","Urban","Married","College/University/post-graduate",5234,1998,"No","Secondary school","Secondary school","Agriculture","Professional Worker (Requires Uni Degree)","Private firm","Services","More than sufficient","Better working condition","Time rate",6,8,"Month",1300,1,"Yes",350,"No","Yes","No","No","No","No","No",,"Through door to door visits","Interview",,,,,,,"Third most important",,"Second most important",,"Most important",,,"No","No","Laid off","Yes","Yes","Yes","Yes","Yes","Yes","Permanent self-contained house",60,5,2002,2002
1064,6,"Hai Phong","Production Worker","Other","Male",1975,"Yes",2004,"Yes","Yes","Urban","Not married","Secondary school",,,"Yes","Secondary school","Secondary school","Services","Did not work",,,,,"Combined",6,8,"Day",40,2,"Yes",300,"No","No","No","No","No","No","Yes","Yes","Owner, who is a friend","None of the above",,,,,,,"Most important",,"Third most important",,"Second most important",,,"No","No","Don't know","Yes","Yes","Yes","No","Yes","No",,,,,
1087,3,"Hai Phong","Office Worker","Other","Female",1982,"Yes",2005,"Yes","No","Urban","Not married","Technical worker without certificate",4034,2003,"Yes","Secondary school","Secondary school","Services","Office Worker","Private firm","Services","Sufficient","Better salary","Time rate",6,8,"Month",2000,2,"Yes",150,"No","No","No","No","No","No","No",,"Friend/acquaintance working in firm","On-the-job test (carried out by experienced worker)",,,,,,,"Second most important","Most important","Third most important",,,,,"No","Yes","Nothing","Yes","Yes","Yes","Yes","Yes","No",,,,,
1087,2,"Hai Phong","Professional Worker","Other","Female",1981,"Yes",2004,"Yes","Yes","Urban","Married","College/University/post-graduate",5046,2003,"Yes","College/University/post-graduate","High school","Services","Did not work",,,,,"Time rate",6,8,"Month",2300,2,"Yes",150,"No","No","No","No","No","No","No",,"Owner, who is a relative","Interview",,,,,,,"Second most important","Most important","Third most important",,,,,"No","Yes","Nothing","Yes","Yes","Yes","Yes","Yes","No",,,,,
1087,6,"Hai Phong","Production Worker","Other","Male",1980,"Yes",2001,"Yes","No","Urban","Married","Technical worker without certificate",4052,2000,"Yes","Primary school","Primary school","Agriculture","Production Worker","Private firm","Manufacturing and Construction","Sufficient","Better salary","Combined",6,8,"Month",2300,1,"Yes",150,"No","No","No","No","No","Yes","Yes","Yes","Friend/acquaintance working in firm","On-the-job test (carried out by experienced worker)",,,,,,,"Second most important","Most important","Third most important",,,,,"No","No","Laid off","Yes","Yes","Yes","No","Yes","Yes","Permanent self-contained house",56,18,1986,2003
1089,1,"Hai Phong","Manager","Member of Owners HH","Female",1979,"No",1999,"Yes","Yes","Urban","Married","High school",,,"Yes","Secondary school","Primary school","Manufacturing and Construction","Service Worker","Other","Manufacturing and Construction","More than sufficient","Better use of skills/experience","Other/Not paid",7,8,,,4,,,"No","No","No","No","No","Yes","No",,"Owner, who is a relative","None of the above",,,,,,,"Third most important",,"Second most important",,"Most important",,,"No","No","Help related to medicine","Yes","Yes","Yes","Yes","Yes","Yes","Permanent self-contained house",50,4,2003,
1089,6,"Hai Phong","Production Worker","Other","Male",1975,"Yes",2003,"Yes","Yes","Urban","Married","Technical certificate/Elementary worker",,,"Yes","Primary school","Primary school","Agriculture","Production Worker","Private firm","Manufacturing and Construction","Sufficient","Better working condition","Time rate",7,9,"Month",1500,1,"Yes",200,"No","Yes","No","No","No","Yes","Yes","Yes","Friend/acquaintance working in firm","On-the-job test (carried out by experienced worker)",,,,,,,"Most important",,"Third most important",,"Second most important",,,"No","No","Don't know","Yes","Yes","Yes","No","Yes","No",,,,,
1093,6,"Hai Phong","Production Worker","Other","Male",1961,"Yes",2001,"Yes","Yes","Urban","Married","Secondary school",,,"No","Secondary school","Primary school","Services","Production Worker","Private firm","Manufacturing and Construction","More than sufficient","Better working condition","Time rate",6,8,"Month",1000,2,"Yes",300,"Yes","Yes","No","No","No","No","Yes","Yes","Through door to door visits","Several of the above",,,,,,,"Third most important",,"Second most important",,"Most important",,,"No","No","Don't know","No","No","Yes","No","Yes","Yes","semi-permanent house",30,10,1993,
1113,6,"Ha Noi","Production Worker","Member of Owners HH","Male",1981,"Yes",2001,"Yes","Yes","Urban","Married","High school",,,"No","Primary school","Secondary school","Services","Did not work",,,,,"Percent of Sales",6,5,,,4,,,"No","No","No","No","No","No","Yes","Yes","Other","None of the above",,,,,,,"Third most important","Second most important",,,"Most important",,,"Yes","No","Laid off","No","Yes","Yes","No","Yes","Yes","Permanent self-contained house",24,22,1985,
1114,1,"Ha Noi","Manager","Owner","Female",1940,"No",1981,"Yes","Yes","Rural","Married","None",,,"No","None","None","Services","Production Worker","SOE","Manufacturing and Construction","Not sufficient","Better use of skills/experience","Other/Not paid",3,3,,,4,,,"No","No","No","No","No","No","No",,"Other","None of the above",,,,,,,,,,,,,,"No","No","Don't know","Yes","Yes","Yes","No","Yes","Yes","Permanent self-contained house",135,14,1993,2007
