"Variable","Label"
"q88b_07","Discrimination against HIV inflicted employees"
"q88c_07","Confidentiality for HIV inflicted employees"
"q89aa_07","Firm involved in HIV prevention messages"
"q89ab_07","Firm involved in free condom distribution"
"q89ac_07","Firm involved in Counselling for HIV"
"q89ad_07","Firm involved in anonymous HIV testing"
"q89ae_07","Firm involved in financial support for dependents on HIV-infected workers"
"q89af_07","Firm involved in other HIV related activities"
"q90_07","New investment made the last 2 years"
"q90a_07","New investment as a share of total revenue"
"q90aa_07","Share of new investment in land"
"q90ab_07","Share of new investment in buildings"
"q90ac_07","Share of new investment in equipment/machinery"
"q90ad_07","Share of new investment in R&D"
"q90ae_07","Share of new investment in human capital upgrading"
"q90af_07","Share of new investment in patents"
"q90ag_07","Share of new investment in other enterprises"
"q90ah_07","Share of new investment in other categories"
"q91a_07","Share of new investment financed by retained earnings"
"q91b_07","Share of new investment financed by bank loans"
"q91c_07","Share of new investment financed by other sources (with interest)"
"q91d_07","Share of new investment financed by friends/family (without interest)"
"q91e_07","Share of new investment financed by other sources (without interest)"
"q91f_07","Share of new investment financed by issuing new stocks"
"q91g_07","Share of new investment financed by other means"
"q92_07","Main purpose of new investment"
"q93a_07","Total assets (end year 2006 - million VND)"
"lnassets","Log total assets (end year 2006 - million VND)"
"q93aa_07","Land assets share of total physical assets"
"q93ab_07","Building assets share of total physical assets"
"q93ac_07","Equipment/Machinery assets share of total physical assets"
"q93ad_07","Transport assets share of total physical assets"
"q93ae_07","Raw material/input inventory share of total physical assets"
"q93af_07","Finished goods inventory share of total physical assets"
"q93ba_07","Cash and deposits share of total financial assets"
"q93bb_07","Outstanding credits share of total financial assets"
"q94a_07","Sold assets in 2006"
"q95_07","Total debt (end year 2006 - million VND)"
"q95a_07","Formal short term debt as a share of total debt"
"q95b_07","Informal short term debt as a share of total debt"
"q95c_07","Formal long term debt as a share of total debt"
"q95d_07","Informal long term debt as a share of total debt"
"q96_07","Interest payments as a share of total assets"
"q96a_07","Share of interest payments formal"
"q97_07","Did the firm fail to service debt in 2006"
"q98a_07","Outstanding balance owed to suppliers as a share of total revenue"
"q98b_07","Amount due to the firm from all customers as a share of total revenue"
"q99_07","Has your firm applied for bank loans or other formal credit the last two years?"
"q100_07","Why has the firm not applied for a loan?"
"q101_07","Did your firm experience any problems getting the loan?"
"q101a_07","Why loan problems?"
"q102a_07","Number of formal short term loans"
"q102b_07","Number of formal long term loans"
"q103_07","Which bank/formal credit institution do you primarily use?"
"q104a_07","Number of formal short term loans denied"
"q104b_07","Number of formal long term loans denied"
"q105a_07","Source of loan"
"q105e_07","Monthly interest rate (percent)"
"q105f_07","Collateral provided"
"q105fa_07","What kind of collateral provided"
"q106_07","Do you still think that you are in need of a loan?"
"q106a_07","Need loan reason"
"q106b_07","Do not need a loan, reason"
"q107_07","Have you borrowed from informal sources the last 2 years"
"q107a_07","Reason for obtaining informal loan"
"q107b_07","Current number of informal loans"
"q107c_07","Problems with obtaining informal loans"
"q108a_07","Source of informal loan"
"q108e_07","Monthly interest rate (percent)"
"q108f_07","Collateral provided"
"q109_07","Which source of loan do you consider most important for the operation of your fi"
"q110_07","Distance to the most important creditor"
"q111_07","Where is the creditor located?"
"q112_07","Did your enterprise ever extend a loan to the main creditor"
"q113_07","Borrowed from the main creditor before"
"q114_07","Firm has environmental certificate"
"q114a_07","Firm has difficulties fulfilling environmental regulations"
"q114b_07","Firm treats environmental waste"
"q115a_07","Most difficult environmental requirement to meet"
"q115b_07","Most difficult environmental requirement to meet"
"q116aa1_07","Firm obtain water from public tap"
"q116aa2_07","Firm obtain water from private tap"
"q116aa3_07","Firm obtain water from groundwater"
"q116aa4_07","Firm obtain water from surface water"
"q116aa5_07","Firm obtain water from other sources"
"q116ab1_07","Water consumed (m3) from public tap"
"q116ab2_07","Water consumed (m3) from private tap"
"q116ab3_07","Water consumed (m3) from groundwater"
"q116ab4_07","Water consumed (m3) from surface water"
"q116ab5_07","Water consumed (m3) from other sources"
"q117a1_07","Treat water before use: public tap"
"q117a2_07","Treat water before use: private tap"
"q117a3_07","Treat water before use: groundwater"
"q117a4_07","Treat water before use: surface water"
"q117a5_07","Treat water before use: other sources"
"q118_07","Where does the enterprise use most quantity of water for production?"
"q119a_07","Investments made in order to save water?"
"q119b_07","Other measures taken in order to save water?"
"q120a_07","Where does the firm discharge most of its waste water?"
"q120b_07","Has the discharged waste water been measured in the past?"
"q120c_07","Does the enterprise or responsible environmental agency measure the quantity of"
"q120d_07","Does the enterprise or responsible environmental agency measure pollution concen"
"q121_07","Does the enterprise treat waste water before discharge?"
"q122_07","Record the reduction in emissions of pollutants?"
"q123a1_07","Network size: Business people within same sector"
"q123a2_07","Network size: Business people in other sectors"
"q123a3_07","Network size: Bank officials"
"q123a4_07","Network size: Politicians and civil servants"
"q124a_07","Percent of network which are suppliers to the firm"
"q124b_07","Percent of network which are customers to the firm"
"q124c_07","Percent of network which are debtors to the firm"
"q124d_07","Percent of network which are creditors to the firm"
"q124e_07","Percent of network which are women"
"q125_07","Member of a business association"
"q125a_07","Number of business association memberships"
"q125b2a_07","Pay membership fees"
"q125b4a_07","Received advocacy support"
"q125b3a_07","Type of received advocacy support"
"q125b4aa_07","Quality of received advocacy support"
"q125b5a_07","Most needed advocacy support"
"q126a_07","Do you face competition in your field of activity?"
"q126aa_07","Competition from other private firms"
"q126ab_07","Competition from SOEs"
"q126ac_07","Competition from imports"
"q126ad_07","Competition from smuggling"
"q126ae_07","Competition from other sources"
"q126b_07","How has the level of competition level changed since last survey (2005)"
"q127a_07","Do you have accumulated goods, which are difficult to sell?"
"q127a2_07","Most important reason"
"q128a_07","Do you plan to start up new projects/product lines in the near future?"
"q128b_07","Most important problem in starting up new product lines"
"q129_07","Has the firm introduced new products the last 2 years?"
"q130_07","Has the firm improved existing products the last 2 years?"
"q131_07","Has the firm introduced new production processes/technology the last 2 years?"
"q132a1_07","Firm has business registration license"
"q132b1_07","Firm has tax code registration certificate"
"q132c1_07","Firm has social insurance registration certificate"
"q132d1_07","Firm has investment certificate"
"q132e1_07","Firm has environmental standards certificate"
"q132f1_07","Firm has fire prevention certificate"
"q132g1_07","Firm has technology transfer certificate"
"q132h1_07","Firm has seal engraving permit"
"q132i1_07","Firm has remittances transfer permit"
"q132j1_07","Firm has license to operate overseas accounts"
"q132a2_07","Did it take less than 15 days to receive the business registration license"
"q132b2_07","Did it take less than 15 days to receive the tax code registration certificate"
"q132c2_07","Did it take less than 15 days to receive the social insurance registration certi"
"q132d2_07","Did it take less than 15 days to receive the investment certificate"
"q132e2_07","Did it take less than 15 days to receive the environmental standards certificate"
"q132f2_07","Did it take less than 15 days to receive the fire prevention certificate"
"q132g2_07","Did it take less than 15 days to receive the technology transfer certificate"
"q132h2_07","Did it take less than 15 days to receive the seal engraving permit"
"q132i2_07","Did it take less than 15 days to receive the remittances transfer permit"
"q132j2_07","Did it take less than 15 days to receive the license to operate overseas account"
"q133_07","Does the firm face any major constraints to growth?"
"q133a_07","Most important constraint"
"q134aa1_07","Investment incentives assistance (tax exemptions or reduction)"
"q134ab1_07","Loan assistance (policy lending/soft loans)"
"q134ba1_07","Human resources training programme"
"q134bb1_07","National key trade promotion programme"
"q134bc1_07","Quality and technology improvement programme"
"q134c1_07","Other government assistance"
"q134aa3_07","Who contacted who regarding assistance"
"q134ab3_07","Who contacted who regarding assistance"
"q134ba3_07","Who contacted who regarding assistance"
"q134bb3_07","Who contacted who regarding assistance"
"q134bc3_07","Who contacted who regarding assistance"
"q134c3_07","Who contacted who regarding assistance"
"q134aa4_07","Did you have to provide an informal payment in order to obtain the assistance?"
"q134ab4_07","Did you have to provide an informal payment in order to obtain the assistance?"
"q134ba4_07","Did you have to provide an informal payment in order to obtain the assistance?"
"q134bb4_07","Did you have to provide an informal payment in order to obtain the assistance?"
"q134bc4_07","Did you have to provide an informal payment in order to obtain the assistance?"
"q134c4_07","Did you have to provide an informal payment in order to obtain the assistance?"
"q134aa5_07","How do assess the impact of the assistance received?"
"q134ab5_07","How do assess the impact of the assistance received?"
"q134ba5_07","How do assess the impact of the assistance received?"
"q134bb5_07","How do assess the impact of the assistance received?"
"q134bc5_07","How do assess the impact of the assistance received?"
"q134c5_07","How do assess the impact of the assistance received?"
"q135a_07","DANIDA support"
"q135b_07","EU support"
"q135c_07","GTZ support"
"q135d_07","VIEDC support"
"q135e_07","VNCI support"
"q135f_07","ADB support"
"q135g_07","UNIDO support"
"q135h_07","ILO support"
"q135i_07","Other foreign agency support"
"q136a_07","Number of policy compliance inspections"
"q136b_07","Number of technical compliance inspections"
"q136c_07","Number of other inspections"
"q137_07","Most important assistance"
"q138a_07","Knowledge about Enterprise Law"
"q138b_07","Knowledge about Cooperative Law"
"q138c_07","Knowledge about Labour Code"
"q138d_07","Knowledge about Customs Law"
"q138e_07","Knowledge about Insurance Law"
"q138f_07","Knowledge about Tax Law"
"q138g_07","Knowledge about Environmental Law"
"q138h_07","Knowledge about Land Law"
"q138i_07","Knowledge about Investment Law"
"q139a_07","WTO membership will lead to faster economic growth"
"q139b_07","WTO membership will lead to an improved business environment"
"q139c_07","WTO membership will lead to greater demand for firm products"
"q139d_07","WTO membership will lead to higher social payments"
"q139e_07","WTO membership will lead to more competition to SMEs"
"q140a_07","Increase firm exports"
"q140b_07","Make access to modern technology easier"
"q140c_07","Make access to credit and capital easier"
"q140d_07","Increase competition due to increased imports"
"q140e_07","Increase labour costs due to higher labour standards"
"q141a_07","Reducing production costs (inputs, raw materials)"
"q141b_07","Introducing new technology"
"q141c_07","Upgrading capacity of labour force"
"q141d_07","Identifying new market outlets"
"q141e_07","Creating new or improving existing products"
"q141f_07","Taking other steps to face increasing international competition"
"q142_07","Do you know about the ASMED Business Portal (SME Information Portal)"
