id,wid_11,wid09,eq2_11,eqd2_11,eqd3_11,eqd4_11,eqd5_11,eqd6_11,eqd7_11,eqd8_11,eqd9_11,eqd10_11,eqd11_11,eqd12_11,eqe1_11,eqe2_11,eqe3_11,eqe4_11,eqe5_11,eqe6_11,eqe7_11,eqe8_11,eqf1a_11,eqf1b_11,eqf1c_11,eqf2_11,eqf3_11,eqf4_11,eqg1a_11,eqg1b_11,eqg2a_11,eqg2b_11,eqg3a_11,eqg3b_11,eqg4_11,eqg5a_11,eqg5b_11,eqg6_11,eqg7_11,eqg8_11,eqg9a_11,eqg9b_11,eqg9c_11,eqg9d_11,eqg9e_11,eqg9f_11,eqg9g_11,eqg9h_11,eqg9i_11,eqg10a_11,eqg10b_11,eqg11_11,eqg12_11,eqg13_11,eqg14_11,eqh1_11,eqh2_11,eqi1_11,eqi2_11,eqi3_11,eqi4_11,eqi5_11,eqi6_11,eqi7_11,eqi8_11,eqj1a_11,eqj1ba_11,eqj1bb_11,eqj1bc_11,eqj1bd_11,eqj1be_11,eqj1bf_11,eqj1bg_11,eqj2_11,eqj3_11,eqj4_11,eqk1a_11,eqk1b_11,eqk1c_11,eqk1d_11,eqk1e_11,eqk2a_11,eqk2b_11,eqk2c_11,eqk2d_11,eqk2e_11,eqk2f_11
127,5,9,Ha Noi,Production Worker,Other,Male,1943,Yes,Yes,2000,Yes,,Yes,Married,High school,,,No,None,Agriculture,None,Agriculture,Production Worker,Private firm,Services,30,More than sufficient,Better working condition,Piece rate,Cash,6,8,Day,150,Yes,Same,Yes,Yes,1000,No,No,Yes,No,No,No,Yes,No,No,No,No,No,Not necessary at moment,Yes,Yes,Yes,"Owner, who is a relative",None of the above,,,,,,,,,No,,Most important,,,Second most important,Third most important,,No,No,Don't know,Yes,Yes,Yes,No,Yes,Yes,Permanent self-contained house,180,4,2007,
127,2,1,Ha Noi,Manager,Member of Owners HH,Female,1957,Yes,Yes,1984,Yes,,No,Married,High school,,,No,None,Manufacturing and Construction,None,Manufacturing and Construction,Did not work,,,,,,Percent of Sales,Cash,6,8,Month,1500,No,Same,Yes,Yes,1000,No,No,Yes,No,No,No,Yes,No,No,No,No,No,Not necessary at moment,Yes,Yes,Yes,,,,,,,,,,,No,,Most important,Second most important,,,Third most important,,No,No,Don't know,Yes,Yes,Yes,Yes,Yes,Yes,Permanent self-contained house,90,3,2008,
127,4,9,Ha Noi,Professional Worker,Other,Female,1980,Yes,Yes,2008,Yes,,No,Not married,College/University/post-graduate,5234,2004,No,College/University/post-graduate,Services,College/University/post-graduate,Services,Office Worker,Private firm,Services,4,Sufficient,Better working condition,Time rate,Cash,6,8,Month,1500,No,Same,Yes,Yes,1000,No,No,Yes,No,No,No,Yes,No,No,No,Yes,Yes,,No,Yes,Yes,"Owner, who is a relative",None of the above,,,,,,,,,No,Second most important,Most important,Third most important,,,,,No,No,Don't know,Yes,Yes,Yes,Yes,Yes,No,Permanent self-contained house,40,3,2008,
127,3,1,Ha Noi,Manager,Owner,Male,1962,Yes,Yes,1984,Yes,,Yes,Married,High school,,,No,None,Manufacturing and Construction,None,Manufacturing and Construction,Did not work,,,,,,Percent of Sales,Cash,6,8,Month,2500,No,Same,Yes,Yes,1000,No,No,Yes,No,No,No,Yes,No,No,No,No,No,Not necessary at moment,No,Yes,Yes,"Owner, who is a relative",None of the above,,,,,,,,,No,,Most important,Second most important,,,Third most important,,No,No,Don't know,Yes,Yes,Yes,Yes,Yes,Yes,Permanent self-contained house,90,3,2008,
158,2,9,Hai Phong,Service Worker,Other,Male,1990,Yes,No,2010,Yes,,Yes,Not married,Secondary school,,,Yes,Primary school,Agriculture,Primary school,Agriculture,Production Worker,Private firm,Services,2,Not sufficient,Better salary,Combined,Cash,6,8,Month,3000,Yes,Higher,,No,,No,No,No,No,No,No,No,No,No,No,No,No,I prefer to save up myself,No,No,,Friend/acquaintance working in firm,None of the above,,,,,,,,,No,,,Most important,,Second most important,Third most important,,No,No,Don't know,No,Yes,Yes,Yes,Yes,No,Permanent self-contained house,50,13,1998,2009
158,3,9,Hai Phong,Production Worker,Other,Male,1990,Yes,No,2010,Yes,,Yes,Not married,High school,,,Yes,Primary school,Agriculture,Primary school,Agriculture,Service Worker,Private firm,Services,2,Not sufficient,Better salary,Combined,Cash,6,8,Month,3000,Yes,Higher,,No,,No,No,No,No,No,No,No,No,No,No,No,No,I prefer to save up myself,No,No,,Relative working in firm,None of the above,,,,,,,,,No,,,Most important,,Second most important,Third most important,,No,No,Don't know,Yes,Yes,Yes,Yes,Yes,No,Permanent self-contained house,40,10,1993,2007
158,4,9,Hai Phong,Production Worker,Other,Male,1957,Yes,No,2010,Yes,,Yes,Married,High school,,,Yes,Primary school,Agriculture,Primary school,Agriculture,Service Worker,Private firm,Agriculture,30,Not sufficient,Better salary,Combined,Cash,6,8,Month,3000,Yes,Higher,,No,,No,No,No,No,No,No,No,No,No,No,No,No,I prefer to save up myself,No,No,,"Owner, who is a friend",None of the above,,,,,,,,,No,,,Most important,,Second most important,Third most important,,No,No,Don't know,Yes,Yes,Yes,Yes,Yes,Yes,Permanent self-contained house,40,10,2001,2006
158,1,9,Hai Phong,Sales Worker,Other,Female,1985,Yes,No,2010,Yes,,Yes,Not married,High school,,,Yes,Primary school,Agriculture,Primary school,Agriculture,Service Worker,Private firm,Services,2,Not sufficient,Better salary,Combined,Cash,6,8,Month,3000,Yes,Higher,,No,,No,No,No,No,No,No,No,No,No,No,No,No,I prefer to save up myself,No,No,,Friend/acquaintance working in firm,None of the above,,,,,,,,,No,,,Most important,,Second most important,Third most important,,No,No,Don't know,No,Yes,Yes,Yes,Yes,No,Permanent self-contained house,50,11,1999,2007
182,1,1,Hai Phong,Manager,Other,Male,1945,Yes,Yes,1982,Yes,,Yes,Married,Technical certificate/Elementary worker,3116,1980,Yes,Secondary school,Agriculture,Secondary school,Agriculture,Manager,Government,Manufacturing and Construction,10,Sufficient,Closer to home,Time rate,Cash,5,8,Month,5000,Yes,Higher,Yes,Yes,500,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,No,Low quality of services,No,Yes,Yes,"Owner, who is a friend",Interview,Yes,2001,Yes,15,Better and more stable wage,No,No,,No,Second most important,Most important,Third most important,,,,,No,No,Laid off,Yes,Yes,Yes,Yes,Yes,Yes,Permanent self-contained house,60,26,1985,2004
182,4,1,Hai Phong,Production Worker,"Relative of owner, but not living in the same HH",Male,1977,Yes,No,1998,No,Rural,Yes,Married,High school,,,Yes,Secondary school,Manufacturing and Construction,Secondary school,Manufacturing and Construction,Production Worker,Private firm,Manufacturing and Construction,5,Not sufficient,Better salary,Time rate,Cash,6,8,Month,2000,Yes,Higher,Yes,Yes,150,No,No,No,No,No,No,Yes,No,No,No,No,No,Not necessary at moment,No,Yes,Yes,Relative working in firm,On-the-job test (carried out by experienced worker),Yes,2001,Yes,15,Better and more stable wage,Yes,No,,No,Second most important,Most important,Third most important,,,,,No,No,Laid off,Yes,Yes,Yes,No,Yes,No,Permanent self-contained house,50,16,1995,2007
182,3,1,Hai Phong,Production Worker,"Relative of owner, but not living in the same HH",Male,1986,Yes,No,2008,No,Rural,No,Not married,High school,,,Yes,Secondary school,Manufacturing and Construction,Secondary school,Manufacturing and Construction,Production Worker,Private firm,Manufacturing and Construction,4,Not sufficient,Better salary,Time rate,Cash,5,8,Month,2000,Yes,Higher,Yes,Yes,150,No,No,No,No,No,No,Yes,No,No,No,No,No,Not necessary at moment,No,Yes,Yes,"Owner, who is a relative",On-the-job test (carried out by experienced worker),Yes,2008,Yes,15,Better and more stable wage,Yes,Yes,Social benefit issues,No,Second most important,Most important,Third most important,,,,,No,No,Laid off,Yes,Yes,Yes,No,Yes,No,Permanent self-contained house,50,21,1990,2006
182,2,1,Hai Phong,Professional Worker,Other,Female,1956,Yes,Yes,1982,Yes,,Yes,Married,College/University/post-graduate,3433,1986,Yes,Secondary school,Manufacturing and Construction,Secondary school,Manufacturing and Construction,Office Worker,Government,Manufacturing and Construction,10,Sufficient,Closer to home,Time rate,Cash,5,8,Month,2000,Yes,Higher,Yes,Yes,500,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,No,Low quality of services,No,Yes,Yes,Friend/acquaintance working in firm,Interview,Yes,2001,Yes,15,Better and more stable wage,Yes,No,,No,Second most important,Most important,Third most important,,,,,No,No,Laid off,Yes,Yes,Yes,Yes,Yes,Yes,Permanent self-contained house,50,27,1984,2004
340,1,1,Ha Tay,Manager,"Relative of owner, but not living in the same HH",Male,1979,Yes,Yes,2006,Yes,,Yes,Married,Technical worker without certificate,2252,,No,Technical worker without certificate,Services,Secondary school,Agriculture,Production Worker,Private firm,Services,8,Sufficient,Better salary,Combined,Cash,7,8,Month,4000,Yes,Higher,No,Yes,2500,Yes,Yes,No,No,No,Yes,No,Yes,Yes,No,No,No,Other,Yes,No,,"Owner, who is a relative",On-the-job test (carried out by experienced worker),,,,,,,,,No,Second most important,Third most important,,Most important,,,,No,No,Nothing,Yes,Yes,Yes,Yes,Yes,Yes,Permanent self-contained house,50,8,2003,
341,1,9,Ha Tay,Manager,Member of Owners HH,Female,1977,Yes,No,1995,Yes,,Yes,Married,Technical worker without certificate,2252,1998,No,Secondary school,Agriculture,Secondary school,Agriculture,Production Worker,Other,Services,0,Sufficient,Other,,,7,10,,,,,,,,,No,No,No,No,No,No,No,No,No,No,Yes,Not necessary at moment,Yes,No,,Other,None of the above,,,,,,,,,No,Most important,,,,Second most important,,,No,No,Laid off,Yes,Yes,Yes,No,Yes,Yes,Permanent self-contained house,100,1,2010,
341,2,9,Ha Tay,Production Worker,Other,Male,1983,Yes,No,2001,Yes,,Yes,Married,Technical worker without certificate,2252,2001,No,High school,Agriculture,Secondary school,Agriculture,Production Worker,Other,Services,0,Sufficient,Better use of skills/experience,Time rate,Cash,7,10,Month,2500,No,Higher,No,Yes,300,No,No,No,No,No,No,No,No,No,No,No,No,Other,Yes,No,,Friend/acquaintance working in firm,On-the-job test (carried out by experienced worker),,,,,,,,,No,Most important,,,,Second most important,,,No,No,Laid off,Yes,Yes,Yes,No,Yes,No,semi-permanent house,60,10,1991,
357,2,1,Ha Tay,Production Worker,Other,Female,1980,Yes,No,2007,Yes,,Yes,Married,High school,,,Yes,High school,Services,High school,Services,Production Worker,Private firm,Services,7,Sufficient,Closer to home,Piece rate,Cash,6,8,Month,3000,No,Higher,Yes,No,,No,No,No,No,No,No,No,No,No,No,No,No,Not necessary at moment,Yes,Yes,No,Other,None of the above,No,,,,,,,,No,,,,,,,,No,No,Laid off,Yes,Yes,Yes,No,Yes,Yes,Pemanent non-contained house,100,10,2001,
357,1,1,Ha Tay,Sales Worker,Other,Male,1984,Yes,No,2007,Yes,,Yes,Married,High school,,,Yes,High school,Services,High school,Services,Sales Worker,Private firm,Services,3,Sufficient,Closer to home,Time rate,Cash,6,8,Month,3000,No,Higher,Yes,No,,No,No,No,No,No,No,No,No,No,No,No,No,Not necessary at moment,Yes,No,,Other,None of the above,No,,,,,,,,No,,,,,,,,No,No,Laid off,Yes,Yes,Yes,No,Yes,Yes,Pemanent non-contained house,150,10,,
364,1,9,Ha Tay,Production Worker,"Relative of owner, but not living in the same HH",Female,1985,Yes,No,2006,Yes,,Yes,Married,Technical worker without certificate,2254,2006,Yes,Secondary school,Services,Primary school,Services,Production Worker,Other,Services,5,Sufficient,Closer to home,Piece rate,Cash,7,8,Month,1400,No,Higher,,Yes,500,Yes,No,No,No,No,No,No,No,No,No,No,No,Not necessary at moment,Yes,No,,"Owner, who is a relative",On-the-job test (carried out by experienced worker),,,,,,,,,No,,,,,,,,No,No,Don't know,Yes,Yes,Yes,No,Yes,No,Permanent self-contained house,90,10,2001,
364,2,9,Ha Tay,Production Worker,Other,Female,1986,Yes,No,2006,Yes,,Yes,Married,Technical worker without certificate,2254,2003,Yes,Secondary school,Agriculture,Secondary school,Agriculture,Production Worker,Other,Services,5,Sufficient,Better salary,Piece rate,Cash,7,8,Month,1400,No,Higher,,Yes,500,No,No,No,No,No,No,No,No,No,No,No,No,Not necessary at moment,Yes,No,,Friend/acquaintance working in firm,On-the-job test (carried out by experienced worker),,,,,,,,,No,,,,,,,,No,No,Don't know,Yes,Yes,Yes,No,Yes,No,Permanent self-contained house,120,8,2003,
380,1,9,Ha Tay,Production Worker,Member of Owners HH,Female,1972,Yes,No,1991,Yes,,Yes,Married,Technical worker without certificate,2252,1992,No,Technical worker without certificate,Services,Primary school,Agriculture,Did not work,,,,,,,,7,8,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,Not necessary at moment,Yes,No,,"Owner, who is a relative",None of the above,,,,,,,,,No,,,,,,,,No,No,Laid off,Yes,Yes,Yes,Yes,Yes,Yes,Permanent self-contained house,100,8,2003,
382,1,9,Ha Tay,Production Worker,"Relative of owner, but not living in the same HH",Male,1975,Yes,No,2010,Yes,,Yes,Married,Technical worker without certificate,2254,1998,No,Primary school,Manufacturing and Construction,Primary school,Manufacturing and Construction,Production Worker,Other,Services,18,More than sufficient,Closer to home,Piece rate,Cash,5,8,Month,1600,Yes,Higher,,Yes,200,No,No,No,No,No,No,No,No,No,No,No,No,Not necessary at moment,Yes,No,,Other,None of the above,,,,,,,,,No,,,,,,,,No,No,Don't know,Yes,Yes,Yes,No,Yes,Yes,Permanent self-contained house,80,15,1996,
382,2,9,Ha Tay,Production Worker,"Relative of owner, but not living in the same HH",Male,1976,Yes,No,2010,Yes,,Yes,Married,Technical worker without certificate,2254,1999,No,Primary school,Manufacturing and Construction,Primary school,Manufacturing and Construction,Production Worker,Other,Services,15,More than sufficient,Closer to home,Piece rate,Cash,5,8,Month,1600,Yes,Higher,,Yes,200,No,No,No,No,No,No,No,No,No,No,No,No,Not necessary at moment,Yes,No,,Other,None of the above,,,,,,,,,No,,,,,,,,No,No,Don't know,Yes,Yes,Yes,No,Yes,Yes,Permanent self-contained house,80,15,1996,
394,1,9,Ha Tay,Manager,Member of Owners HH,Female,1964,Yes,No,1980,Yes,,Yes,Married,High school,,,No,Primary school,Agriculture,Primary school,Agriculture,Production Worker,Other,Agriculture,,Sufficient,Better working condition,,,7,8,,,,,,,,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,I prefer to save up myself,Yes,Yes,Yes,"Owner, who is a relative",None of the above,,,,,,,,,No,Most important,Second most important,,,Third most important,,,No,Yes,Laid off,Yes,Yes,Yes,No,Yes,Yes,Permanent self-contained house,188,26,1958,
409,2,9,Ha Tay,Production Worker,Other,Male,1979,Yes,No,2003,Yes,,Yes,Married,Technical worker without certificate,2252,2000,No,None,Agriculture,None,Agriculture,Production Worker,Other,Services,6,Sufficient,Closer to home,Combined,Cash,7,8,Month,3000,No,Higher,,Yes,1000,No,No,No,No,No,No,No,No,No,No,No,No,Other,Yes,No,,Other,None of the above,,,,,,,,,No,Third most important,Second most important,,,Most important,,,No,No,Don't know,Yes,Yes,Yes,No,Yes,Yes,Permanent self-contained house,130,17,1994,
409,1,9,Ha Tay,Production Worker,Other,Male,1980,Yes,No,2003,Yes,,Yes,Not married,Technical worker without certificate,2252,2000,No,None,Agriculture,None,Agriculture,Production Worker,Other,Services,7,Sufficient,Closer to home,Combined,Cash,7,8,Month,3000,No,Higher,,Yes,1000,No,No,No,No,No,No,No,No,No,No,No,No,Other,Yes,No,,Other,None of the above,,,,,,,,,No,Third most important,Second most important,,,Most important,,,No,No,Don't know,Yes,Yes,Yes,No,Yes,Yes,Permanent self-contained house,100,8,2003,
413,3,9,Ha Tay,Production Worker,Other,Male,1993,Yes,No,2011,Yes,,Yes,Not married,High school,,,No,Secondary school,Agriculture,Secondary school,Agriculture,Production Worker,Other,Agriculture,3,Sufficient,Better salary,Time rate,Cash,7,8,Month,3000,Yes,Same,No,Yes,300,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,I prefer to save up myself,Yes,Yes,Yes,Friend/acquaintance working in firm,None of the above,,,,,,,,,Yes,Most important,Second most important,,,Third most important,,,No,Yes,Don't know,Yes,Yes,Yes,No,Yes,Yes,Permanent self-contained house,100,11,2000,
413,2,9,Ha Tay,Production Worker,Other,Male,1984,Yes,No,2010,Yes,,Yes,Married,Secondary school,,,No,Secondary school,Agriculture,Secondary school,Agriculture,Production Worker,Other,Agriculture,5,Sufficient,Better working condition,Time rate,Cash,7,8,Month,3000,Yes,Same,No,Yes,300,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,I prefer to save up myself,Yes,Yes,Yes,Friend/acquaintance working in firm,None of the above,,,,,,,,,Yes,Second most important,Third most important,,,Most important,,,No,Yes,Don't know,Yes,Yes,Yes,No,Yes,Yes,Permanent self-contained house,180,19,1992,
413,1,9,Ha Tay,Manager,Member of Owners HH,Female,1965,Yes,No,1992,Yes,,Yes,Married,Secondary school,,,No,None,Agriculture,None,Agriculture,Service Worker,Other,Agriculture,3,More than sufficient,Better salary,,,7,8,,,,,,,,No,No,Yes,No,No,Yes,No,No,No,No,No,No,Too expensive,Yes,Yes,Yes,"Owner, who is a relative",None of the above,,,,,,,,,Yes,Third most important,Second most important,,,Most important,,,No,Yes,Help related to medicine,Yes,Yes,Yes,No,Yes,Yes,Villa,328,16,1995,
415,1,2,Ha Tay,Production Worker,Member of Owners HH,Female,1963,Yes,No,1980,Yes,,Yes,Married,Secondary school,,,No,High school,Services,Primary school,Agriculture,Production Worker,Other,Agriculture,1,Sufficient,Other,,,6,7,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,Yes,Other,No,Yes,Yes,"Owner, who is a relative",None of the above,No,,,,,,,,Yes,,,Most important,,Third most important,,Second most important,No,No,Help related to medicine,Yes,Yes,Yes,No,Yes,Yes,semi-permanent house,80,15,1996,1996
659,1,2,HCMC,Manager,Other,Female,1984,Yes,Yes,2001,No,Rural,No,Not married,Secondary school,,,Yes,Primary school,Agriculture,Secondary school,Agriculture,Did not work,,,,,,Time rate,Cash,6,8,Month,1800,Yes,Higher,Yes,Yes,2500,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Not necessary at moment,No,No,,Friend/acquaintance working in firm,None of the above,Yes,2002,No,,Secures that employer pays social benifits,No,No,,Yes,,Most important,,,,Second most important,Third most important,No,No,Nothing,Yes,Yes,Yes,No,Yes,Yes,Permanent self-contained house,105,27,1984,2010
