id,wid_09,wid07,eq1_09,eqd2_09,eqd4_09,eqd5_09,eqd6_09,eqd7_09,eqd8_09,eqd9_09,eqd10_09,eqd11_09,eqd12_09,eqe1_09,eqe2_09,eqe3_09,eqe4_09,eqe5_09,eqe6_09,eqe7_09,eqe8_09,eqf1a_09,eqf1b_09,eqf1c_09,eqf2_09,eqf3_09,eqf4_09,eqg1a_09,eqg1b_09,eqg2a_09,eqg2b_09,eqg3a_09,eqg3b_09,eqg4_09,eqg5a_09,eqg5b_09,eqg6_09,eqg7_09,eqg8_09,eqg9a_09,eqg9b_09,eqg9c_09,eqg9d_09,eqg9e_09,eqg9f_09,eqg9g_09,eqg9h_09,eqg10a_09,eqg10b_09,eqg11_09,eqg12_09,eqg13_09,eqg14_09,eqh1_09,eqh2_09,eqi1_09,eqi2_09,eqi3_09,eqi4_09,eqi5_09,eqi6_09,eqi7_09,eqi8_09,eqj1a_09,eqj1ba_09,eqj1bb_09,eqj1bc_09,eqj1bd_09,eqj1be_09,eqj1bf_09,eqj1bg_09,eqj2_09,eqj3_09,eqj4_09,eqk1a_09,eqk1b_09,eqk1c_09,eqk1d_09,eqk1e_09,eqk2a_09,eqk2b_09,eqk2c_09,eqk2d_09,eqk2e_09,eqk2f_09
127,1,1,Ha Noi,Manager,Male,1949,Yes,Yes,17,Yes,,No,Married,4,,,No,1,Agriculture,1,Agriculture,Manager,Private firm,Manufacturing and Construction,19,Sufficient,Other,Time rate,Cash,7,8,Month,1500,Yes,Same,,Yes,500,No,Yes,No,No,No,No,No,No,No,No,No,I prefer to save up myself,Yes,Yes,Yes,Friend/acquaintance working in firm,None of the above,No,,,,,,,,Yes,Most important,,Second most important,,,,,Yes,Yes,Don't know,Yes,Yes,Yes,No,Yes,Yes,Permanent self-contained house,100,11,1998,
127,4,98,Ha Noi,Sales Worker,Female,1958,Yes,Yes,27,Yes,,Yes,Married,4,,,No,1,Agriculture,1,Agriculture,Sales Worker,Private firm,Services,10,Sufficient,Other,Time rate,Cash,7,8,Month,1500,Yes,Same,,Yes,500,No,Yes,No,No,No,No,No,No,No,No,No,I prefer to save up myself,Yes,Yes,Yes,Friend/acquaintance working in firm,Interview,No,,,,,,,,Yes,Most important,,Second most important,,Third most important,,,Yes,Yes,Don't know,Yes,Yes,Yes,No,Yes,Yes,Pemanent non-contained house,30,9,2000,
127,3,98,Ha Noi,Office Worker,Female,1957,Yes,Yes,27,Yes,,Yes,Married,4,,,No,1,Agriculture,1,Agriculture,Office Worker,Private firm,Services,9,Sufficient,Other,Time rate,Cash,7,8,Month,1500,Yes,Same,,Yes,500,No,Yes,No,No,No,No,No,No,No,No,No,I prefer to save up myself,Yes,Yes,Yes,Friend/acquaintance working in firm,Interview,No,,,,,,,,Yes,Most important,,,,Second most important,,,Yes,Yes,Don't know,Yes,Yes,Yes,No,Yes,Yes,Permanent self-contained house,25,7,2002,
127,2,98,Ha Noi,Professional Worker,Female,1985,Yes,Yes,1,No,Rural,No,Not married,8,5034,2006,No,3,Agriculture,4,Agriculture,Professional Worker (Requires Uni Degree),Private firm,Manufacturing and Construction,3,Sufficient,Better use of skills/experience,Time rate,Cash,7,8,Month,1500,Yes,Same,,Yes,500,No,Yes,No,No,No,No,No,No,No,No,No,I prefer to save up myself,Yes,Yes,Yes,Friend/acquaintance working in firm,Interview,No,,,,,,,,Yes,Most important,,Second most important,,,,,Yes,Yes,Don't know,No,No,Yes,No,Yes,No,Unsettled house and other,30,14,1995,2004
127,5,98,Ha Noi,Service Worker,Male,1943,Yes,Yes,27,Yes,,Yes,Married,4,,,No,1,Agriculture,1,Agriculture,Sales Worker,Private firm,Services,25,Sufficient,Other,Time rate,Cash,7,8,Month,1500,Yes,Same,,Yes,500,No,Yes,No,No,No,No,No,No,No,No,No,I prefer to save up myself,Yes,Yes,Yes,Friend/acquaintance working in firm,Interview,No,,,,,,,,Yes,Most important,Second most important,,,,,,Yes,Yes,Don't know,Yes,Yes,Yes,No,Yes,Yes,Permanent self-contained house,30,6,2003,
127,6,6,Ha Noi,Production Worker,Male,1974,Yes,Yes,1,No,Rural,No,Married,1,,,No,2,Agriculture,1,Agriculture,Production Worker,Private firm,Services,5,Sufficient,Other,Combined,Cash,7,8,Month,1500,Yes,Same,,Yes,500,No,Yes,No,No,No,No,No,No,No,No,No,I prefer to save up myself,Yes,Yes,Yes,Friend/acquaintance working in firm,Interview,No,,,,,,,,Yes,Most important,Second most important,,,,,,Yes,Yes,Don't know,No,Yes,Yes,No,Yes,Yes,Unsettled house and other,30,11,1998,2003
158,4,98,Hai Phong,Production Worker,Male,1990,Yes,No,0,No,Rural,No,Not married,3,,,No,2,6,2,,Did not work,,,,,,Piece rate,Cash,7,8,Month,600,No,Same,,,,No,No,No,No,No,No,No,No,No,No,No,Not necessary at moment,No,Yes,Yes,"Owner, who is a relative",None of the above,,,,,,,No,,No,Most important,Second most important,,,,,,No,No,Laid off,No,Yes,Yes,No,Yes,No,Permanent self-contained house,100,1,,
158,3,98,Hai Phong,Production Worker,Female,1982,Yes,No,0,No,Rural,No,Not married,3,,,No,2,6,2,6,Production Worker,Private firm,Services,8,Not sufficient,Better working condition,Piece rate,Cash,7,8,Month,800,No,Same,,,,No,No,No,No,No,No,No,No,No,No,No,Not necessary at moment,No,Yes,Yes,Relative working in firm,None of the above,,,,,,,No,,No,Most important,Second most important,,,,,,No,No,Laid off,No,Yes,Yes,No,No,No,Permanent self-contained house,100,1,,
158,2,98,Hai Phong,Sales Worker,Female,1987,Yes,No,1,No,Rural,No,Not married,3,,,No,2,6,2,6,Sales Worker,Private firm,Manufacturing and Construction,5,Not sufficient,Better working condition,Piece rate,Cash,7,8,Month,1000,No,Same,No,Yes,100,No,No,No,No,No,No,No,No,No,No,No,Not necessary at moment,No,No,,Relative working in firm,None of the above,,,,,,,No,,No,,,Most important,,Second most important,,,No,No,Laid off,No,Yes,Yes,No,No,No,Permanent self-contained house,100,1,,
158,1,1,Hai Phong,Office Worker,Male,1957,Yes,No,4,Yes,,Yes,Married,4,,,No,1,6,1,6,Office Worker,Private firm,Manufacturing and Construction,20,Sufficient,Better working condition,Other/Not paid,Cash,7,8,Month,2000,No,Same,No,Yes,100,No,No,No,No,No,No,No,No,No,No,No,Not necessary at moment,No,No,,Friend/acquaintance working in firm,None of the above,,,,,,,No,,No,,Most important,Second most important,,,,,No,No,Laid off,Yes,Yes,Yes,Yes,Yes,Yes,Permanent self-contained house,50,52,1954,
182,4,4,Hai Phong,Production Worker,Male,1977,Yes,Yes,8,Yes,,No,Married,3,,,No,1,Agriculture,1,Agriculture,Did not work,,,,,,Piece rate,Cash,6,8,Month,1800,Yes,Same,No,,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,No,Yes,Yes,"Owner, who is a relative",None of the above,Yes,2001,Yes,5,More safety at workplace,No,No,,No,Second most important,Most important,,,,Third most important,,No,No,Laid off,Yes,Yes,Yes,Yes,Yes,No,Permanent self-contained house,30,3,,
182,1,98,Hai Phong,Manager,Male,1945,Yes,Yes,23,Yes,,Yes,Married,4,,,No,3,Manufacturing and Construction,3,Manufacturing and Construction,Office Worker,SOE,Manufacturing and Construction,22,Sufficient,Other,Time rate,Cash,6,8,Month,2000,No,Same,No,Yes,300,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,No,No,,"Owner, who is a friend",None of the above,Yes,2001,Yes,5,More safety at workplace,No,No,,No,Second most important,Most important,,,,Third most important,,No,No,Laid off,Yes,Yes,Yes,Yes,Yes,Yes,Permanent self-contained house,120,6,2003,
182,5,98,Hai Phong,Production Worker,Male,1986,Yes,Yes,8,Yes,,Yes,Married,3,,,No,1,Agriculture,1,Agriculture,Did not work,,,,,,Piece rate,Cash,6,8,Month,1800,Yes,Same,No,,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,No,Yes,Yes,"Owner, who is a relative",None of the above,Yes,2001,Yes,5,More safety at workplace,No,No,,No,Second most important,Most important,,,,Third most important,,No,No,Laid off,Yes,Yes,Yes,No,Yes,No,Permanent self-contained house,24,23,,
182,2,3,Hai Phong,Sales Worker,Female,1956,Yes,Yes,15,Yes,,Yes,Married,8,5234,1982,No,3,Manufacturing and Construction,3,Manufacturing and Construction,Professional Worker (Requires Uni Degree),SOE,Manufacturing and Construction,31,Sufficient,Other,Time rate,Cash,6,8,Month,1500,No,Same,No,Yes,300,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,No,No,,"Owner, who is a friend",None of the above,Yes,2001,Yes,5,More safety at workplace,No,No,,No,Second most important,Most important,,,,Third most important,,No,No,Laid off,Yes,Yes,Yes,Yes,Yes,Yes,Permanent self-contained house,50,6,2003,
182,3,2,Hai Phong,Professional Worker,Male,1975,Yes,Yes,10,Yes,,Yes,Married,8,5234,1999,No,8,Manufacturing and Construction,8,Manufacturing and Construction,Did not work,,,,,,Time rate,Cash,6,8,Month,2000,No,Same,No,Yes,300,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,No,Yes,Yes,"Owner, who is a relative",None of the above,Yes,2001,Yes,5,More safety at workplace,No,No,,No,Second most important,Most important,,,,Third most important,,No,No,Laid off,Yes,Yes,Yes,Yes,Yes,Yes,Permanent self-contained house,200,3,2006,
340,2,98,Ha Tay,Production Worker,Male,1981,Yes,No,6,Yes,,Yes,Married,4,,,Yes,4,Agriculture,3,Agriculture,Production Worker,Private firm,Services,4,Sufficient,Better working condition,Time rate,Cash,6,8,Month,1800,Yes,Same,No,Yes,500,No,Yes,No,No,No,Yes,No,No,No,No,No,Too expensive,No,No,,Job advertisement,On-the-job test (carried out by experienced worker),,,,,,,No,,Yes,Second most important,Most important,,,Third most important,,,No,No,Laid off,Yes,Yes,Yes,No,Yes,No,semi-permanent house,80,10,1999,
340,1,98,Ha Tay,Production Worker,Male,1979,Yes,No,7,Yes,,Yes,Married,4,,,Yes,3,Agriculture,3,Agriculture,Production Worker,Private firm,Manufacturing and Construction,6,Sufficient,Better working condition,Time rate,Cash,6,8,Month,1800,Yes,Same,No,Yes,500,No,Yes,No,No,No,Yes,No,No,No,No,No,Too expensive,Yes,Yes,Yes,Friend/acquaintance working in firm,On-the-job test (carried out by experienced worker),,,,,,,No,,Yes,Second most important,Most important,,,Third most important,,,No,No,Laid off,Yes,Yes,Yes,No,No,Yes,semi-permanent house,100,5,2004,
341,1,98,Ha Tay,Production Worker,Male,1972,Yes,Yes,8,Yes,,Yes,Married,4,,,No,2,Agriculture,2,Agriculture,Production Worker,Private firm,Manufacturing and Construction,10,Sufficient,Better salary,Time rate,Cash,6,8,Month,2000,Yes,Higher,Yes,Yes,500,No,Yes,No,No,No,No,No,No,No,No,No,I prefer to save up myself,No,Yes,Yes,Friend/acquaintance working in firm,On-the-job test (carried out by experienced worker),,,,,,,No,,No,Second most important,Third most important,,,Most important,,,No,Yes,Laid off,Yes,Yes,Yes,No,Yes,Yes,Permanent self-contained house,65,10,1999,
357,2,98,Ha Tay,Production Worker,Male,1980,Yes,Yes,6,Yes,,Yes,Not married,4,,,No,4,Services,4,Services,Production Worker,Other,Services,2,Not sufficient,Better working condition,Time rate,Cash,6,8,Month,2000,Yes,Higher,Yes,Yes,600,No,Yes,No,No,No,Yes,No,No,No,No,No,Not necessary at moment,No,Yes,Yes,Other,On-the-job test (carried out by experienced worker),,,,,,,No,,No,Most important,Third most important,,,,Second most important,,No,No,Don't know,No,Yes,Yes,No,No,No,semi-permanent house,120,12,1997,
357,1,98,Ha Tay,Sales Worker,Female,1984,Yes,Yes,4,Yes,,Yes,Married,8,5234,2004,No,6,Manufacturing and Construction,5,Services,Did not work,,,,,,Time rate,Cash,6,8,Month,2500,Yes,Higher,Yes,Yes,1000,No,Yes,Yes,No,No,No,No,No,No,No,No,Not necessary at moment,No,Yes,Yes,Friend/acquaintance working in firm,Interview,,,,,,,No,,No,Most important,Third most important,,,,Second most important,,No,No,Don't know,Yes,Yes,Yes,Yes,Yes,No,Permanent self-contained house,110,6,2003,
364,1,98,Ha Tay,Production Worker,Female,1975,Yes,No,9,Yes,,Yes,Married,4,,,Yes,3,Agriculture,4,Agriculture,Service Worker,Private firm,Services,10,Sufficient,Better working condition,Combined,Cash,6,8,Month,2200,Yes,Same,No,Yes,400,No,Yes,Yes,No,No,Yes,No,No,No,No,No,I prefer to save up myself,No,No,,Friend/acquaintance working in firm,None of the above,,,,,,,No,,No,,Most important,,Second most important,,,,No,No,Help related to medicine,Yes,Yes,Yes,No,Yes,Yes,semi-permanent house,100,8,2001,
380,2,1,Ha Tay,Production Worker,Female,1956,Yes,No,2,No,Rural,Yes,Married,4,,,No,4,Manufacturing and Construction,,Agriculture,Production Worker,SOE,Manufacturing and Construction,25,Sufficient,Closer to home,Time rate,Cash,5,8,Month,1500,No,Same,,Yes,500,No,No,No,No,No,No,No,No,No,No,No,I prefer to save up myself,No,No,,Relative working in firm,None of the above,No,,,,,,,,No,Second most important,,Most important,,Third most important,,,No,No,Don't know,No,Yes,Yes,No,Yes,Yes,Unsettled house and other,40,10,,
380,3,1,Ha Tay,Production Worker,Female,1950,Yes,No,7,Yes,,Yes,Married,3,,,No,,Agriculture,,Agriculture,Service Worker,Other,Manufacturing and Construction,2,Sufficient,Other,Combined,Cash,5,8,Month,1200,No,Same,,Yes,500,No,No,No,No,No,No,No,No,No,No,No,I prefer to save up myself,No,Yes,Yes,Friend/acquaintance working in firm,None of the above,No,,,,,,,,No,Most important,,Second most important,,Third most important,,,No,No,Don't know,No,Yes,Yes,No,Yes,No,Unsettled house and other,30,13,,2007
380,1,1,Ha Tay,Manager,Female,1972,Yes,No,18,Yes,,Yes,Married,3,,,No,6,Manufacturing and Construction,6,Manufacturing and Construction,Did not work,,,,,,Time rate,Cash,7,8,Month,2000,No,Same,Yes,Yes,1000,No,No,No,No,No,No,No,No,No,No,No,I prefer to save up myself,No,No,,"Owner, who is a relative",None of the above,No,,,,,,,,No,Second most important,,Most important,,Third most important,,,No,No,Don't know,No,Yes,Yes,No,Yes,No,Permanent self-contained house,120,15,1990,2000
381,1,98,Ha Tay,Production Worker,Male,1980,Yes,No,4,Yes,,Yes,Married,4,,,Yes,3,Agriculture,3,Agriculture,Production Worker,Private firm,Manufacturing and Construction,5,Sufficient,Better working condition,Time rate,Cash,6,8,Month,2000,Yes,Same,No,Yes,500,No,No,No,No,No,No,No,No,No,No,No,I prefer to save up myself,No,Yes,Yes,Other,On-the-job test (carried out by experienced worker),,,,,,,No,,Yes,Most important,Second most important,,,Third most important,,,No,Yes,Laid off,No,Yes,Yes,No,Yes,No,Permanent self-contained house,90,7,2002,
394,1,98,Ha Tay,Production Worker,Male,1983,Yes,No,5,Yes,,Yes,Not married,3,,,No,4,Agriculture,3,Agriculture,Did not work,,,,,,Time rate,Cash,7,8,Month,1800,Yes,Same,Yes,Yes,300,No,No,No,No,No,No,No,No,No,No,No,Too expensive,No,Yes,Yes,Friend/acquaintance working in firm,None of the above,,,,,,,No,,No,Most important,Third most important,,,Second most important,,,No,No,Don't know,No,Yes,Yes,No,No,No,semi-permanent house,150,15,1994,
409,1,98,Ha Tay,Production Worker,Male,1977,Yes,No,8,Yes,,Yes,Married,4,,,Yes,4,Agriculture,3,Agriculture,Production Worker,Private firm,Manufacturing and Construction,10,Sufficient,Better salary,Combined,Cash,7,9,Month,2200,Yes,Higher,Yes,Yes,500,No,No,No,No,No,Yes,No,No,No,No,No,Not necessary at moment,No,Yes,Yes,Other,On-the-job test (carried out by experienced worker),,,,,,,No,,No,,Most important,,,Second most important,,,No,Yes,Laid off,No,Yes,No,No,Yes,Yes,semi-permanent house,60,10,1999,
411,1,98,Ha Tay,Production Worker,Male,1979,Yes,No,7,Yes,,Yes,Married,4,,,Yes,3,Agriculture,3,Agriculture,Production Worker,Other,Manufacturing and Construction,7,Sufficient,Better working condition,Time rate,Cash,7,8,Month,1600,No,Same,Yes,Yes,300,No,No,No,No,No,No,No,No,No,No,No,I prefer to save up myself,No,Yes,Yes,Friend/acquaintance working in firm,On-the-job test (carried out by experienced worker),,,,,,,No,,No,Most important,,Third most important,,,Second most important,,No,No,Help related to medicine,No,Yes,Yes,No,Yes,No,Permanent self-contained house,90,14,1995,
413,1,98,Ha Tay,Production Worker,Male,1968,Yes,No,13,Yes,,Yes,Married,4,,,Yes,3,Agriculture,3,Agriculture,Production Worker,Other,Manufacturing and Construction,16,Sufficient,Better salary,Time rate,Cash,7,8,Month,1800,Yes,Higher,Yes,Yes,500,No,No,No,No,No,Yes,No,No,No,No,No,Not necessary at moment,No,Yes,Yes,Other,None of the above,,,,,,,No,,No,,Most important,Second most important,,,,,No,No,Don't know,Yes,Yes,Yes,No,Yes,Yes,semi-permanent house,110,20,1989,
415,1,98,Ha Tay,Production Worker,Male,1976,Yes,Yes,10,Yes,,Yes,Married,3,,,Yes,3,Services,2,Agriculture,Production Worker,Other,Agriculture,11,Not sufficient,Better working condition,Time rate,Cash,7,8,Month,1500,Yes,Same,No,Yes,300,No,No,No,No,No,Yes,No,No,No,No,No,I prefer to save up myself,No,Yes,Yes,Relative working in firm,None of the above,,,,,,,No,,No,Most important,,,,,Second most important,,No,No,Nothing,No,Yes,Yes,No,Yes,Yes,Pemanent non-contained house,50,8,2001,
537,1,1,HCMC,Manager,Male,1981,Yes,No,5,Yes,,Yes,Married,4,,,Yes,3,Services,1,Services,Manager,Private firm,Services,3,Sufficient,Other,Percent of Sales,Cash,6,8,Month,3000,No,Same,Yes,Yes,3000,Yes,Yes,No,No,No,No,No,No,Yes,No,No,Not necessary at moment,No,No,,"Owner, who is a relative",Several of the above,,,,,,,No,,Yes,Second most important,Third most important,Most important,,,,,No,No,Don't know,Yes,Yes,Yes,Yes,Yes,No,Pemanent non-contained house,60,11,1998,
537,2,6,HCMC,Production Worker,Male,1969,Yes,No,5,Yes,,No,Not married,1,,,Yes,1,,1,,Production Worker,Private firm,Services,10,Sufficient,Better salary,Combined,Cash,6,8,Month,2500,Yes,Same,Yes,Yes,2000,No,Yes,No,No,No,No,No,No,Yes,No,No,Not necessary at moment,No,No,,"Owner, who is a relative",Several of the above,,,,,,,No,,Yes,Second most important,Third most important,Most important,,,,,No,No,Don't know,Yes,Yes,Yes,No,Yes,Yes,semi-permanent house,70,5,2002,
658,1,98,HCMC,Production Worker,Female,1957,Yes,No,14,Yes,,Yes,Married,1,,,No,1,Manufacturing and Construction,1,,Did not work,,,,,,Time rate,Cash,4,8,Day,50,No,Same,No,Yes,2000,Yes,No,No,No,No,No,No,No,No,No,No,Low quality of services,No,No,,"Owner, who is a relative",None of the above,,,,,,,No,,No,,,Most important,,Second most important,Third most important,,No,No,Laid off,No,No,No,No,No,No,Permanent self-contained house,60,15,,
659,1,98,HCMC,Production Worker,Male,1979,Yes,No,4,No,Rural,No,Married,4,,,No,3,Agriculture,3,Agriculture,Production Worker,Other,Services,5,Sufficient,Better working condition,Time rate,Cash,7,8,Month,2000,Yes,Higher,Yes,Yes,1000,No,No,No,No,No,Yes,No,No,No,No,No,Not necessary at moment,No,Yes,Yes,Job advertisement,On-the-job test (carried out by experienced worker),,,,,,,No,,No,,Most important,Third most important,,,Second most important,,No,No,Laid off,No,Yes,Yes,No,No,No,semi-permanent house,30,4,,
715,1,6,HCMC,Production Worker,Female,1984,Yes,Yes,3,Yes,,Yes,Not married,4,,,No,7,Manufacturing and Construction,4,,Did not work,,,,,,Time rate,Cash,6,8,Month,1200,Yes,Same,No,Yes,1200,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Other,No,Yes,Yes,"Owner, who is a relative",None of the above,Yes,2006,Yes,20,More job security,No,No,,Yes,,,Second most important,,Most important,,,No,No,Don't know,Yes,Yes,Yes,Yes,Yes,Yes,Permanent self-contained house,200,6,1993,
726,1,98,HCMC,Production Worker,Male,1982,Yes,No,3,No,Rural,No,Married,4,,,Yes,3,Agriculture,4,Agriculture,Did not work,,,,,,Time rate,Cash,7,8,Month,1800,Yes,Higher,Yes,Yes,500,No,No,No,No,No,No,No,No,No,No,No,Not necessary at moment,No,Yes,Yes,Job advertisement,On-the-job test (carried out by experienced worker),,,,,,,No,,No,,Most important,,Second most important,,,,No,No,Laid off,No,Yes,Yes,No,No,No,semi-permanent house,35,3,,
1034,1,98,Hai Phong,Manager,Male,1948,Yes,Yes,6,Yes,,No,Married,4,,,No,,,,,Production Worker,Private firm,Manufacturing and Construction,5,More than sufficient,Better salary,Time rate,Cash,6,8,Month,5000,No,Higher,Yes,Yes,1000,No,No,No,No,No,Yes,No,No,No,No,No,Not necessary at moment,Yes,No,,Other,None of the above,,,,,,,No,,No,,Third most important,Most important,,Second most important,,,No,No,Nothing,Yes,Yes,Yes,Yes,Yes,Yes,Permanent self-contained house,135,6,2003,2005
