id,wid_13,wid_in_11,eq2_13,eqd1a_13,eqd2_13,eqd3_13,eqd4_13,eqd5_13,eqd6_13,eqd7_13,eqd8_13,eqd9_13,eqd10_13,eqd11_13,eqd12_13,eqe1_13,eqe2_13,eqe3_13,eqe4_13,eqe5_13,eqe6_13,eqe7_13,eqe8_13,eqe8a_13,eqe9_13,eqe9a_13,eqe10_13,eqe10a_13,eqe11_13,eqe12_13,eqe13_13,eqf1a_13,eqf1b_13,eqf1c_13,eqf2_13,eqf3_13,eqf4_13,eqg1a_13,eqg1b_13,eqg2a_13,eqg2b_13,eqg3a1_13,eqg3a2_13,eqg3b1_13,eqg3b2_13,eqg3c1_13,eqg3c2_13,eqg4_13,eqg5a_13,eqg5b_13,eqg6_13,eqg7_13,eqg8_13,eqg9a_13,eqg9b_13,eqg9c_13,eqg9d_13,eqg9e_13,eqg9f_13,eqg9g_13,eqg9h_13,eqg9i_13,eqg10a_13,eqg10b_13,eqg11_13,eqg12_13,eqg13_13,eqg14_13,eqh1_13,eqh2_13,eqi1_13,eqi2_13,eqi3_13,eqi4_13,eqi5_13,eqi6_13,eqi7_13,eqi8_13,eqj1a_13,eqj1ba_13,eqj1bb_13,eqj1bc_13,eqj1bd_13,eqj1be_13,eqj1bf_13,eqj1bg_13,eqj2_13,eqj3_13,eqj4_13,eqk1a_13,eqk1b_13,eqk1c_13,eqk1d_13,eqk1e_13,eqk2a_13,eqk2b_13,eqk2c_13,eqk2d_13,eqk2e_13,eqk2f_13
127,4,5,Ha Noi,5,Sales Worker,Member of Owners HH,Male,1943,Yes,Yes,2000,Yes,,Yes,Married,Vocational elementary,2262,1962,None,Agriculture,None,Agriculture,0,,0,,0,,No,No,,Production Worker,Private firm,Services,30,Sufficient,Better working condition,Time rate,Cash,4,7,Month,1500,Month,1500,,,Yes,Same,No,Yes,2000,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Too few years to contribute,Yes,Yes,Yes,"Owner, who is a relative",None of the above,,,,,,,,,Yes,,,,,Most important,Second most important,Third most important,No,No,Nothing,Yes,Yes,Yes,No,Yes,Yes,Permanent self-contained house,300,30,1983,2009
127,2,2,Ha Noi,2,Manager,Member of Owners HH,Female,1957,Yes,Yes,1984,Yes,,No,Married,Vocational secondary,4062,1979,None,Manufacturing and Construction,None,Manufacturing and Construction,0,,0,,0,,No,No,,Office Worker,SOE,Manufacturing and Construction,6,Sufficient,Other,Time rate,Cash,6,7,Month,1500,Month,1500,,,Yes,Same,No,Yes,2000,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,,,Yes,Yes,Yes,"Owner, who is a relative",None of the above,,,,,,,,,Yes,Third most important,,Most important,,Second most important,,,No,No,Nothing,Yes,Yes,Yes,Yes,Yes,Yes,Permanent self-contained house,100,25,1988,2003
127,3,4,Ha Noi,4,Professional Worker,Member of Owners HH,Female,1980,Yes,Yes,2008,Yes,,No,Not married,University and higher,5262,2004, Professional secondary,Services, Professional secondary,Services,0,,0,,0,,No,No,,Office Worker,Private firm,Services,4,Sufficient,Better working condition,Time rate,Cash,3,6,Month,1500,Month,1000,,,Yes,Same,No,Yes,2000,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,I prefer to save up myself,No,Yes,Yes,"Owner, who is a relative",None of the above,,,,,,,,,Yes,,Second most important,Most important,,,Third most important,,No,No,Nothing,Yes,Yes,Yes,Yes,Yes,No,semi-permanent house,70,2,1998,2010
127,1,1,Ha Noi,1,Production Worker,Other,Male,1962,Yes,Yes,1989,No,Rural,No,Married,High school,,,None,Agriculture,None,Agriculture,0,,0,,0,,No,No,,Production Worker,SOE,Manufacturing and Construction,9,Sufficient,Better working condition,Piece rate,Cash,6,7,Month,3000,Month,2000,,,Yes,Same,No,Yes,2000,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Too expensive,Yes,Yes,Yes,"Owner, who is a relative",None of the above,,,,,,,,,Yes,,,Most important,Third most important,,Second most important,,No,No,Nothing,Yes,Yes,Yes,No,Yes,Yes,Unsettled house and other,200,20,1993,2000
182,1,2,Hai Phong,2,Sales Worker,Member of Owners HH,Female,1956,Yes,No,1982,Yes,,Yes,Married, Professional secondary,4034,1986,None,Services,None,Services,0,,0,,1,3,No,Yes,Yes,Office Worker,Government,Manufacturing and Construction,10,Not sufficient,Closer to home,Time rate,Cash,6,8,Month,5000,Month,3500,,,No,Same,No,Yes,500,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Other,No,No,,Friend/acquaintance working in firm,Interview,,,,,,,,,No,,,Third most important,Most important,Second most important,,,No,No,Nothing,Yes,Yes,Yes,No,Yes,No,semi-permanent house,40,10,2003,
182,2,3,Hai Phong,3,Office Worker,Owner,Male,1986,Yes,No,2003,No,Rural,No,Married,None,,,None,Agriculture,None,Agriculture,0,,0,,1,2,No,Yes,Yes,Production Worker,Private firm,Manufacturing and Construction,8,Not sufficient,Better use of skills/experience,Time rate,Cash,6,8,Month,3000,Day,100,,,No,Same,No,Yes,500,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Other,No,No,,"Owner, who is a relative",On-the-job test (carried out by experienced worker),,,,,,,,,No,,Most important,Second most important,,Third most important,,,No,No,Laid off,No,Yes,Yes,No,Yes,No,Permanent self-contained house,30,28,1981,2011
341,2,2,Ha Tay,2,Production Worker,"Relative of owner, but not living in the same HH",Male,1983,Yes,No,2001,Yes,,Yes,Married,Vocational elementary,2251,2001,High school,Agriculture,Secondary school,Agriculture,0,,0,,0,,No,No,,Production Worker,Other,Agriculture,0,Sufficient,Better use of skills/experience,Time rate,Cash,7,8,Month,3500,Month,3000,,,No,Same,No,Yes,100,No,No,No,No,No,No,No,No,No,No,No,No,Procedures too complicated,Yes,Yes,Yes,Friend/acquaintance working in firm,On-the-job test (carried out by experienced worker),,,,,,,,,No,Most important,,,Second most important,Third most important,,,No,No,Don't know,No,No,Yes,No,Yes,Yes,Permanent self-contained house,100,23,1990,
341,1,1,Ha Tay,1,Service Worker,Member of Owners HH,Female,1977,Yes,No,1995,Yes,,Yes,Married,Vocational elementary,2251,1998,Secondary school,Agriculture,Secondary school,Agriculture,0,,0,,0,,No,No,,Production Worker,Other,Agriculture,3,Sufficient,Other,NA,9,7,8,,,,,,,,9,,,,No,No,No,No,No,No,No,No,No,No,No,No,Procedures too complicated,Yes,Yes,Yes,"Owner, who is a relative",None of the above,,,,,,,,,No,Most important,,,Second most important,Third most important,,,No,No,Don't know,No,No,Yes,No,Yes,Yes,Permanent self-contained house,150,17,1996,
364,1,9,Ha Tay,9,Manager,Member of Owners HH,Male,1977,Yes,No,2002,Yes,,Yes,Married,Technical level without certificate,,,Technical level without certificate,Agriculture,Technical level without certificate,Agriculture,0,,0,,0,,No,No,,Manager,Other,Agriculture,3,Sufficient,Other,NA,9,6,8,,,,,,,,9,,,,No,No,No,No,No,No,No,No,No,No,No,No,I prefer to save up myself,No,No,,Other,On-the-job test (carried out by experienced worker),,,,,,,,,No,,,,,,,,No,No,Nothing,Yes,Yes,Yes,Yes,Yes,No,semi-permanent house,60,,,
364,3,9,Ha Tay,9,Production Worker,Member of Owners HH,Female,1956,No,No,2008,Yes,,Yes,Married,Technical level without certificate,,,Technical level without certificate,Agriculture,Technical level without certificate,Agriculture,0,,0,,0,,No,No,,Production Worker,Other,Agriculture,7,Sufficient,Closer to home,NA,9,6,8,,,,,,,,9,,,,No,No,No,No,No,No,No,No,No,No,No,No,I prefer to save up myself,No,No,,Other,On-the-job test (carried out by experienced worker),,,,,,,,,No,,,,,,,,No,No,Nothing,Yes,Yes,Yes,Yes,Yes,No,semi-permanent house,30,,,
364,2,9,Ha Tay,9,Production Worker,"Relative of owner, but not living in the same HH",Female,1985,Yes,No,2009,Yes,,Yes,Married,Technical level without certificate,,,Technical level without certificate,Agriculture,Technical level without certificate,Agriculture,0,,0,,0,,No,No,,Production Worker,Other,Agriculture,2,Sufficient,Closer to home,Combined,Cash,6,8,Month,2500,Month,2500,,,No,Same,No,Yes,450,No,No,No,No,No,No,No,No,No,No,No,No,I prefer to save up myself,No,No,,Other,On-the-job test (carried out by experienced worker),,,,,,,,,No,,,,,,,,No,No,Nothing,Yes,Yes,Yes,No,Yes,No,semi-permanent house,40,,,
380,1,1,Ha Tay,1,Production Worker,"Relative of owner, but not living in the same HH",Female,1972,Yes,No,1991,Yes,,Yes,Married,Vocational elementary,2251,1992,Vocational elementary,Services,Primary school,Agriculture,0,,0,,0,,No,No,,Did not work,,,,,,Combined,Cash,6,8,Month,3000,Month,2500,,,No,Same,No,Yes,400,No,No,No,No,No,No,No,No,No,No,No,No,Procedures too complicated,Yes,Yes,Yes,"Owner, who is a relative",None of the above,,,,,,,,,No,Most important,,Second most important,,Third most important,,,No,No,Don't know,Yes,Yes,Yes,Yes,Yes,Yes,Permanent self-contained house,100,12,2001,
380,2,9,Ha Tay,9,Production Worker,"Relative of owner, but not living in the same HH",Male,1986,Yes,No,2009,Yes,,Yes,Married,Technical level without certificate,,,High school,Agriculture,Secondary school,Agriculture,0,,0,,0,,No,No,,Production Worker,Other,Agriculture,2,Sufficient,Better use of skills/experience,Combined,Cash,6,8,Month,3000,Month,2500,,,No,Same,No,Yes,340,No,No,No,No,No,No,No,No,No,No,No,No,Procedures too complicated,No,Yes,Yes,"Owner, who is a friend",None of the above,,,,,,,,,No,Most important,,Second most important,,Third most important,,,No,No,Don't know,Yes,Yes,Yes,Yes,Yes,Yes,Permanent self-contained house,120,8,2005,
394,1,1,Ha Tay,1,Production Worker,Member of Owners HH,Female,1964,Yes,No,1980,Yes,,Yes,Married,High school,,,Primary school,Agriculture,Primary school,Agriculture,0,,0,,0,,No,No,,Production Worker,Other,Agriculture,0,Sufficient,Better working condition,NA,9,6,5,,,,,,,,9,,,,No,No,No,No,No,No,No,No,No,No,No,No,I prefer to save up myself,Yes,No,,"Owner, who is a relative",None of the above,,,,,,,,,,Second most important,Most important,,,Third most important,,,No,No,Don't know,Yes,Yes,Yes,No,Yes,Yes,semi-permanent house,60,13,2000,
398,2,9,Ha Tay,9,Production Worker,Member of Owners HH,Female,1988,Yes,No,2010,Yes,,Yes,Married,Technical level without certificate,,,Technical level without certificate,Agriculture,Technical level without certificate,Agriculture,0,,0,,0,,No,No,,Production Worker,Other,Agriculture,3,Sufficient,Other,NA,9,6,8,,,,,,,,9,,,,No,No,No,No,No,No,No,No,No,No,No,No,I prefer to save up myself,Yes,Yes,Yes,"Owner, who is a relative",None of the above,,,,,,,,,No,,,,Most important,,,,No,No,Nothing,Yes,Yes,Yes,Yes,Yes,Yes,Permanent self-contained house,100,21,1992,1997
398,1,9,Ha Tay,9,Production Worker,Member of Owners HH,Female,1960,Yes,No,1983,Yes,,Yes,Married,Technical level without certificate,,,Technical level without certificate,Agriculture,Technical level without certificate,Agriculture,0,,0,,0,,No,No,,Production Worker,Other,Agriculture,20,Sufficient,Other,NA,9,6,8,,,,,,,,9,,,,No,No,No,No,No,No,No,No,No,No,No,No,I prefer to save up myself,Yes,Yes,Yes,"Owner, who is a relative",None of the above,,,,,,,,,No,,,,Most important,,,,No,Yes,Nothing,Yes,Yes,Yes,Yes,Yes,Yes,Permanent self-contained house,100,21,1992,1997
408,1,9,Ha Tay,9,Manager,Member of Owners HH,Female,1971,Yes,No,1991,Yes,,Yes,Married,Technical level without certificate,,,Technical level without certificate,Agriculture,Technical level without certificate,Agriculture,0,,0,,1,3,No,No,,Production Worker,Other,Agriculture,3,Sufficient,Other,NA,9,6,8,,,,,,,,9,,,,No,No,No,No,No,No,No,No,No,No,No,No,I prefer to save up myself,Yes,Yes,Yes,"Owner, who is a relative",None of the above,,,,,,,,,No,Most important,,Second most important,,Third most important,,,No,Yes,Nothing,Yes,Yes,Yes,Yes,Yes,Yes,Permanent self-contained house,100,3,2010,
408,3,9,Ha Tay,9,Production Worker,Other,Male,1989,Yes,No,2011,Yes,,Yes,Married,Technical level without certificate,,,Technical level without certificate,Agriculture,Technical level without certificate,Agriculture,0,,0,,1,3,No,No,,Production Worker,Other,Agriculture,1,Sufficient,Better use of skills/experience,Combined,Cash,6,8,Month,4500,Month,4500,,,No,Same,No,Yes,1000,No,No,No,No,No,No,No,No,No,No,No,No,I prefer to save up myself,Yes,Yes,Yes,Relative working in firm,Interview,,,,,,,,,No,Most important,,Second most important,,Third most important,,,No,No,Nothing,Yes,Yes,Yes,Yes,Yes,No,Permanent self-contained house,200,6,2007,
408,2,9,Ha Tay,9,Production Worker,Other,Female,1984,Yes,No,2010,Yes,,Yes,Married,Technical level without certificate,,,Technical level without certificate,Agriculture,Technical level without certificate,Agriculture,0,,0,,1,3,No,No,,Production Worker,Other,Agriculture,2,Sufficient,Closer to home,Combined,Cash,6,8,Month,4500,Month,4500,,,No,Same,No,Yes,1000,No,No,No,No,No,No,No,No,No,No,No,No,I prefer to save up myself,Yes,Yes,Yes,"Owner, who is a friend",Interview,,,,,,,,,No,Most important,,Second most important,,Third most important,,,No,No,Nothing,Yes,Yes,Yes,No,Yes,Yes,Permanent self-contained house,150,7,2006,
409,2,2,Ha Tay,2,Production Worker,Other,Male,1979,Yes,No,2003,Yes,,Yes,Married,Vocational elementary,2251,2000,None,Agriculture,None,Agriculture,0,,0,,0,,No,No,,Production Worker,Other,Services,6,Sufficient,Closer to home,Combined,Cash,6,8,Month,500,Month,4500,,,No,Same,No,Yes,1000,No,No,No,No,No,No,No,No,No,No,No,No,I prefer to save up myself,Yes,Yes,Yes,Other,None of the above,,,,,,,,,No,Most important,,Second most important,,Third most important,,,No,No,Nothing,Yes,Yes,Yes,No,Yes,Yes,Permanent self-contained house,120,8,2005,
409,1,1,Ha Tay,1,Production Worker,Other,Male,1980,Yes,No,2003,Yes,,Yes,Married,Vocational elementary,2251,2000,None,Agriculture,None,Agriculture,0,,0,,0,,No,No,,Production Worker,Other,Services,5,Sufficient,Closer to home,Combined,Cash,6,8,Month,4500,Month,4500,,,No,Same,No,Yes,1000,No,No,No,No,No,No,No,No,No,No,No,No,I prefer to save up myself,Yes,Yes,Yes,Other,None of the above,,,,,,,,,No,Most important,,Second most important,,Third most important,,,No,No,Nothing,Yes,Yes,Yes,Yes,Yes,Yes,Permanent self-contained house,170,10,2003,
413,1,9,Ha Tay,9,Production Worker,Other,Male,1990,Yes,No,2011,No,Rural,No,Not married,Secondary school,,,Secondary school,Agriculture,Primary school,Agriculture,0,,0,,0,,No,No,,Did not work,,,,,,Combined,Cash,6,8,Month,2500,Month,2200,,,No,Higher,Yes,Yes,1000,Yes,No,No,No,No,No,No,No,No,No,No,No,Not necessary at moment,No,Yes,Yes,Other,None of the above,,,,,,,,,No,Most important,Second most important,,,Third most important,,,No,No,Don't know,Yes,Yes,Yes,No,Yes,Yes,semi-permanent house,40,14,1999,
413,2,9,Ha Tay,9,Production Worker,Other,Male,1986,Yes,No,2011,No,Rural,No,Not married,Secondary school,,,Secondary school,Agriculture,Primary school,Agriculture,0,,0,,0,,No,No,,Production Worker,Private firm,Manufacturing and Construction,7,Sufficient,Better working condition,Combined,Cash,6,8,Month,3000,Month,2500,,,Yes,Higher,Yes,Yes,1000,No,No,No,No,No,No,No,No,No,No,No,No,Not necessary at moment,No,Yes,Yes,Other,None of the above,,,,,,,,,No,Most important,,Third most important,,Second most important,,,No,No,Don't know,Yes,Yes,Yes,No,Yes,Yes,semi-permanent house,40,10,2003,
415,1,9,Ha Tay,9,Production Worker,Other,Female,1981,Yes,No,2009,Yes,,Yes,Married,High school,,,Secondary school,Agriculture,Secondary school,Agriculture,0,,0,,2,10,Yes after informal training,No,,Production Worker,Other,Agriculture,10,Sufficient,Closer to home,Combined,Cash,5,8,Day,180,Day,150,,,Yes,Same,Yes,Yes,3000,No,No,No,No,No,Yes,No,No,No,No,No,No,Not necessary at moment,Yes,,,Other,None of the above,No,,,,,,,,,,Most important,Second most important,,,Third most important,,Yes,No,Don't know,No,Yes,Yes,No,Yes,Yes,semi-permanent house,70,20,,
532,6,9,HCMC,9,Production Worker,Other,Male,1970,Yes,Yes,2001,Yes,,No,Married,High school,,,Secondary school,Services,Secondary school,Agriculture,2,7,0,,0,,No,Yes,Yes,Production Worker,Private firm,Manufacturing and Construction,12,Sufficient,Better working condition,Combined,Cash,6,8,Month,3500,Month,1500,Month,4000,Yes,Higher,Yes,Yes,2000,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Not necessary at moment,Yes,Yes,Yes,Job advertisement,Interview,Yes,2002,Yes,50,More job security,No,No,,No,,,Most important,Second most important,Third most important,,,No,No,Don't know,Yes,Yes,Yes,Yes,Yes,No,Unsettled house and other,,,,
532,2,9,HCMC,9,Sales Worker,Other,Male,1976,Yes,Yes,2011,Yes,,No,Married,University and higher,5290,2002,Secondary school,Services,Secondary school,Agriculture,0,,0,,0,,No,No,,Sales Worker,Private firm,Manufacturing and Construction,9,Sufficient,Better working condition,Combined,Cash,6,8,Month,4000,Month,2500,Month,4500,Yes,Higher,Yes,Yes,2000,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Not necessary at moment,Yes,,,Job advertisement,Interview,Yes,2011,Yes,50,More job security,No,No,,No,,,Most important,Second most important,Third most important,,,No,No,Don't know,Yes,Yes,Yes,Yes,Yes,No,Unsettled house and other,,,,
532,7,9,HCMC,9,Production Worker,Other,Male,1974,Yes,Yes,2001,Yes,,No,Married, Professional secondary,8282,2005,Secondary school,Services,Secondary school,Agriculture,3,7,0,,0,,No,Yes,Yes,Production Worker,Private firm,Manufacturing and Construction,12,Sufficient,Better working condition,Combined,Cash,6,8,Month,3500,Month,1500,Month,4000,Yes,Higher,Yes,Yes,2000,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Not necessary at moment,Yes,Yes,Yes,Job advertisement,Interview,Yes,2002,Yes,50,More job security,No,No,,No,,,Most important,Second most important,Third most important,,,No,No,Don't know,Yes,Yes,Yes,Yes,Yes,No,Unsettled house and other,,,,
532,3,9,HCMC,9,Office Worker,Other,Female,1990,Yes,Yes,2011,Yes,,No,Not married,Vocational college,5090,2013,Secondary school,Services,Secondary school,Agriculture,0,,0,,0,,No,No,,Did not work,,,,,,Time rate,Cash,6,8,Month,3500,Month,2500,Month,2500,Yes,Higher,Yes,Yes,2000,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Not necessary at moment,Yes,,,Job advertisement,Interview,Yes,2011,Yes,50,More job security,No,No,,No,,,Most important,Second most important,Third most important,,,No,No,Don't know,Yes,Yes,Yes,Yes,Yes,No,Unsettled house and other,,,,
532,5,9,HCMC,9,Professional Worker,Other,Female,1970,Yes,Yes,2002,Yes,,Yes,Married,High school,,,Secondary school,Services,Secondary school,Agriculture,0,,0,,0,,No,No,,Service Worker,Private firm,Manufacturing and Construction,10,Sufficient,Better working condition,Time rate,Cash,6,8,Month,3000,Month,1000,Month,3500,Yes,Higher,Yes,Yes,2000,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Not necessary at moment,Yes,Yes,Yes,Friend/acquaintance working in firm,Interview,Yes,2002,Yes,50,More job security,No,No,,No,,,Most important,Second most important,Third most important,,,No,No,Don't know,Yes,Yes,Yes,Yes,Yes,No,Unsettled house and other,,,,
532,4,9,HCMC,9,Service Worker,Other,Female,1991,Yes,Yes,2011,No,Rural,No,Not married, Professional secondary,4246,2011,Secondary school,Services,Secondary school,Agriculture,0,,0,,0,,No,No,,Did not work,,,,,,Time rate,Cash,6,8,Month,3500,Month,2500,Month,2500,Yes,Higher,Yes,Yes,2000,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Not necessary at moment,Yes,,,Job advertisement,Interview,Yes,2011,Yes,50,More job security,No,No,,No,,,Most important,Second most important,Third most important,,,No,No,Don't know,Yes,Yes,Yes,Yes,Yes,No,Unsettled house and other,,,,
